submission_pk,User,b'F1'
95464,antonio.tamayo,0.9424 (1),
95747,LGirrbach,0.9373 (2),
100261,tahoangthang,0.9022 (3),
100397,Abu,0.8867 (4),
101364,fazlfrs,0.8754 (5),
97006,abrando,0.8450 (6),
101366,temu_bsc,0.8441 (7),
