submission_pk,User,"b'Avg Rank (RD, SN)'",b'Set 3 (RD)',b'Set 4 (SN)',b'Duration'
52704,Ramdane,1.0000 (2),0.3729 (1),0.4771 (1),0.00 (1),
52524,Jilin,1.0000 (2),0.3729 (1),0.4771 (1),0.00 (1),
88671,romainM,2.0000 (1),0.1308 (2),0.1040 (2),0.00 (1),
