submission_pk,User,b'Macro-F1'
163892,srijaanand,0.7917 (1),
173728,nst,0.5833 (2),
178196,virk,0.5833 (2),
181040,daminglu123,0.4792 (3),
165928,unnamed_narrator,0.4792 (3),
138494,dloureiro,0.3750 (4),
