submission_pk,User,b'Prediction score',b'Duration'
58611,pachamama,0.4255 (1),0.00 (1),
73123,Fedy.Ben-Naceur,0.1064 (2),0.00 (1),
49589,guyon,0.0527 (3),0.00 (1),
47087,ihsaan-ullah,0.0527 (3),0.00 (1),
71802,pavao,0.0437 (4),0.00 (1),
64629,RomainMAG,0.0437 (4),0.00 (1),
