submission_pk,User,b'overall_f1',b'mcc'
172250,Asif,0.8364 (1),0.9129 (3),
163682,daixiang,0.8307 (2),0.9138 (2),
172433,aalkan,0.8262 (3),0.9139 (1),
171996,bikash617,0.8242 (4),0.9080 (5),
159642,gauravsingh,0.8162 (5),0.9101 (4),
169124,gebra,0.7988 (6),0.9063 (6),
161605,vbsr,0.7980 (7),0.9026 (7),
173167,fbenites,0.7141 (8),0.7858 (11),
172343,Rohan191,0.7101 (9),0.7965 (9),
161131,dennishnf,0.6714 (10),0.7891 (10),
135026,felix.grezes,0.5781 (11),0.8104 (8),
150184,Rachit,0.0086 (12),0.0170 (12),
