submission_pk,User,b'< Rank >',b'MCC',b'F1 BAD',b'F1 OK',b'Disk Footprint (Bytes)',b'Model Params'
166869,IST-Unbabel,2.00 (1),0.4355 (1),0.5782 (1),0.8518 (2),2260744555.0 (2),565139485.0 (4),
167881,Abulice,2.60 (3),0.4239 (2),0.5699 (2),0.8481 (3),2260780823.0 (3),565137436.0 (3),
168313,JeonghyeokPark,2.40 (2),0.3961 (3),0.5485 (3),0.7392 (4),2240570795.0 (1),560095834.0 (1),
166647,OrganizersBaselines,3.00 (4),0.3245 (4),0.4260 (4),0.8695 (1),2280011066.0 (4),564527011.0 (2),
