submission_pk,User,b'Sum',b'AR-agnostic-corner',b'AR-agnostic',b'AP-agnostic',b'AP-common'
194600,gavin,3.09 (1),0.80 (25),0.85 (25),0.78 (25),0.66 (25),
196565,IPIU-XDU,3.06 (2),0.79 (24),0.85 (24),0.77 (24),0.64 (24),
196444,haooooooo,2.83 (3),0.76 (23),0.81 (23),0.70 (17),0.55 (15),
195059,Charles,2.83 (4),0.73 (20),0.79 (20),0.72 (23),0.58 (23),
190457,BingDwenDwen,2.82 (5),0.73 (19),0.79 (21),0.72 (22),0.58 (22),
196063,chenwei,2.82 (6),0.74 (21),0.79 (19),0.72 (21),0.58 (21),
474430,wzmw-zr,2.79 (7),0.74 (22),0.79 (22),0.70 (16),0.56 (17),
188839,wyndy,2.79 (8),0.72 (18),0.78 (18),0.71 (20),0.56 (19),
194712,relax,2.77 (9),0.71 (16),0.78 (16),0.71 (19),0.57 (20),
190312,zx,2.76 (10),0.71 (15),0.77 (15),0.71 (18),0.56 (18),
189547,cthun,2.74 (11),0.72 (17),0.77 (14),0.70 (15),0.55 (16),
196410,ssssss,2.72 (12),0.71 (14),0.78 (17),0.70 (14),0.54 (12),
191248,newboy,2.70 (13),0.70 (13),0.76 (13),0.70 (13),0.54 (13),
415971,y13210021,2.42 (14),0.70 (12),0.72 (12),0.58 (12),0.43 (11),
483555,void_racer,2.03 (15),0.33 (8),0.63 (11),0.52 (11),0.55 (14),
195126,Itachi,1.94 (16),0.52 (11),0.60 (9),0.49 (10),0.33 (9),
461670,Ether,1.91 (17),0.49 (10),0.62 (10),0.43 (8),0.38 (10),
191091,Curiosity,1.56 (18),0.30 (7),0.52 (8),0.42 (7),0.32 (8),
196556,WesleyZhang,1.41 (19),0.23 (6),0.48 (7),0.43 (9),0.26 (6),
417813,PixelChen,1.23 (20),0.18 (5),0.43 (6),0.34 (5),0.27 (7),
493440,S_13,1.10 (21),0.38 (9),0.37 (4),0.27 (4),0.07 (4),
196179,tiantianyu,1.09 (22),0.17 (4),0.38 (5),0.34 (6),0.20 (5),
191371,tiruns,0.26 (23),0.11 (3),0.10 (3),0.03 (3),0.01 (3),
185604,LEONWang24,0.02 (24),0.01 (2),0.00 (2),0.00 (2),0.00 (2),
490249,MIngyuLiu,0.01 (25),0.00 (1),0.00 (1),0.00 (1),0.00 (1),
