submission_pk,User,b'Accuracy (top-1)[%]',b'Score2',b'Score3',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
65132,USTC-IAT-United,51.09 (1),51.09 (1),51.09 (1),0.00 (5),0.00 (3),0.00 (2),
65148,SunshineMu,46.85 (2),46.85 (2),46.85 (2),0.02 (11),2.00 (1),0.00 (2),
64500,SH,41.77 (3),41.77 (3),41.77 (3),0.02 (11),2.00 (1),0.00 (2),
64434,Sun_JY,37.65 (4),37.65 (4),37.65 (4),0.01 (8),0.00 (3),0.00 (2),
64611,sumanth_udupa,34.26 (5),34.26 (5),34.26 (5),-1.00 (1),-1.00 (4),-1.00 (3),
64605,anirudhsikdar3,33.41 (6),33.41 (6),33.41 (6),-1.00 (1),-1.00 (4),-1.00 (3),
67072,jzsherlock,33.17 (7),33.17 (7),33.17 (7),0.01 (7),0.00 (3),0.00 (2),
66915,adityakane,30.39 (8),30.39 (8),30.39 (8),0.09 (15),1.00 (2),0.00 (2),
64153,hsansui,28.81 (9),28.81 (9),28.81 (9),0.00 (3),0.00 (3),0.00 (2),
62233,Casian,28.57 (10),28.57 (10),28.57 (10),0.02 (13),1.00 (2),0.00 (2),
64408,mcc,27.85 (11),27.85 (11),27.85 (11),0.02 (12),0.00 (3),1.00 (1),
64915,kancharlavamshi,27.72 (12),27.72 (12),27.72 (12),-1.00 (1),-1.00 (4),-1.00 (3),
67498,neptune,27.12 (13),27.12 (13),27.12 (13),10.43 (17),0.00 (3),0.00 (2),
65361,MoonJian,27.00 (14),27.00 (14),27.00 (14),-1.00 (1),-1.00 (4),-1.00 (3),
64441,sjy,26.76 (15),26.76 (15),26.76 (15),-1.00 (1),0.00 (3),-1.00 (3),
63540,SabariNathan,26.63 (16),26.63 (16),26.63 (16),10.43 (17),1.00 (2),1.00 (1),
67057,sorashiro,26.51 (17),26.51 (17),26.51 (17),-1.00 (1),-1.00 (4),-1.00 (3),
63544,priyakansal,26.15 (18),26.15 (18),26.15 (18),0.05 (14),0.00 (3),0.00 (2),
64321,Raghunath19,26.03 (19),26.03 (19),26.03 (19),0.02 (12),0.00 (3),1.00 (1),
64373,my_first_try1,25.91 (20),25.91 (20),25.91 (20),-1.00 (1),0.00 (3),-1.00 (3),
63072,xsourse,25.54 (21),25.54 (21),25.54 (21),0.02 (10),0.00 (3),0.00 (2),
64370,wujiekd,24.46 (22),24.46 (22),24.46 (22),0.00 (2),0.00 (3),-1.00 (3),
64442,mytry1,23.49 (23),23.49 (23),23.49 (23),-1.00 (1),0.00 (3),-1.00 (3),
64438,mytry2,23.49 (23),23.49 (23),23.49 (23),-1.00 (1),0.00 (3),-1.00 (3),
64849,NYCX,23.24 (24),23.24 (24),23.24 (24),0.02 (13),0.00 (3),0.00 (2),
62789,Howie,23.12 (25),23.12 (25),23.12 (25),0.00 (3),0.00 (3),0.00 (2),
62778,ltliu,22.40 (26),22.40 (26),22.40 (26),0.00 (3),0.00 (3),0.00 (2),
64447,jb2849,21.79 (27),21.79 (27),21.79 (27),10.43 (17),1.00 (2),1.00 (1),
64649,Marry,21.31 (28),21.31 (28),21.31 (28),0.00 (2),0.00 (3),-1.00 (3),
65104,dushens,20.22 (29),20.22 (29),20.22 (29),0.00 (2),0.00 (3),-1.00 (3),
63736,msalehi,19.98 (30),19.98 (30),19.98 (30),0.34 (16),1.00 (2),0.00 (2),
65133,try_first_try,15.38 (31),15.38 (31),15.38 (31),0.00 (4),0.00 (3),0.00 (2),
64844,king,15.13 (32),15.13 (32),15.13 (32),0.00 (2),0.00 (3),-1.00 (3),
64922,avinash_nesac,13.80 (33),13.80 (33),13.80 (33),-1.00 (1),-1.00 (4),-1.00 (3),
65110,zhangteng,13.20 (34),13.20 (34),13.20 (34),0.01 (6),0.00 (3),0.00 (2),
65040,Levin,11.99 (35),11.99 (35),11.99 (35),0.00 (2),0.00 (3),0.00 (2),
67140,jzsherlock4869,0.00 (36),0.00 (36),0.00 (36),0.01 (9),0.00 (3),0.00 (2),
