submission_pk,User,b'AP @ 0.50:0.95',b'AP @ 0.50',b'AP @ 0.75',b'AP @ 0.50:0.95 (small)',b'AP @ 0.50:0.95 (medium)',b'AP @ 0.50:0.95 (large)'
481159,trinhxuankhai,0.33 (1),0.55 (1),0.39 (1),0.34 (1),0.49 (1),0.58 (1),
490132,XiaoZ,0.23 (2),0.46 (2),0.20 (2),0.24 (2),0.40 (2),0.38 (2),
478625,AdreeLesrer,0.18 (3),0.40 (3),0.13 (3),0.20 (3),0.26 (3),0.36 (3),
476379,dauvannam,0.07 (4),0.28 (4),0.00 (9),0.10 (5),0.10 (4),0.20 (6),
489162,w64228013,0.07 (5),0.20 (5),0.02 (4),0.10 (4),0.08 (5),0.23 (4),
467757,Sindhu_Venna,0.05 (6),0.17 (6),0.01 (6),0.08 (7),0.03 (7),0.16 (7),
452079,attilalengyel,0.04 (7),0.14 (7),0.01 (5),0.08 (6),0.04 (6),0.22 (5),
476767,quynhsonca,0.03 (8),0.11 (8),0.00 (10),0.05 (9),0.02 (8),0.09 (8),
491522,re6124043,0.02 (10),0.10 (9),0.00 (8),0.04 (10),0.01 (11),0.08 (9),
490758,chaun_an0626,0.02 (9),0.10 (10),0.00 (11),0.05 (8),0.01 (10),0.06 (10),
478595,NguyenKhoiNguyen,0.02 (11),0.08 (11),0.01 (7),0.03 (11),0.02 (9),0.00 (11),
