submission_pk,User,b'f1',b'Precision',b'Recall'
100187,pturon,0.5804 (1),0.58 (1),0.58 (1),
96481,atnafu,0.5724 (2),0.57 (2),0.57 (2),
102628,kelven,0.5669 (3),0.57 (3),0.57 (3),
103364,erremesse,0.5118 (4),0.51 (4),0.51 (4),
87247,Grx,0.4644 (5),0.46 (5),0.46 (5),
85019,hugojair,0.4323 (6),0.43 (6),0.43 (6),
