submission_pk,User,b'Answer F1',b'Evidence F1',b'Overall F1'
162538,yunxiaomr,80.59406 (1),75.82941 (2),67.74704 (1),
161326,jerome,79.00990 (2),79.57246 (1),66.95658 (2),
160115,hsz779,72.87129 (5),72.52306 (3),58.25260 (3),
162441,Two,74.85149 (4),68.53325 (4),56.46481 (4),
162200,Smile,76.83168 (3),66.57672 (5),55.68041 (5),
162401,Leishu,70.29703 (6),60.70876 (6),45.02872 (6),
