submission_pk,User,b'nDCG@20 (test set)',b'MAP (test set)',b'Precision@20 (test set)',b'MRR@100 (test set)',b'MRR@100 (validation set)'
203541,BingChilling,0.4509 (1),0.3808 (1),0.1550 (1),0.4725 (1),0.3838 (1),
203683,Explorers,0.3527 (2),0.2956 (2),0.1302 (6),0.3670 (2),0.2695 (5),
203953,team_turkey,0.3493 (3),0.2870 (3),0.1392 (5),0.3583 (5),0.2711 (4),
203914,new_google,0.3345 (4),0.2618 (5),0.1396 (3),0.3619 (3),0.2868 (2),
203210,DocumentTurboFetcher,0.3330 (5),0.2691 (4),0.1399 (2),0.3430 (6),0.2680 (6),
201726,TeamCIA,0.3267 (6),0.2616 (6),0.1394 (4),0.3606 (4),0.2730 (3),
203752,project_group_4,0.2410 (7),0.2017 (7),0.0732 (8),0.2740 (7),0.1921 (8),
203917,JoeyBlankendaal,0.2326 (8),0.1865 (8),0.0758 (7),0.2692 (8),0.1989 (7),
202245,ZM_BTB,0.2164 (9),0.1789 (9),0.0647 (9),0.2685 (9),0.1508 (9),
203783,Zoekmachinerds,0.0917 (10),0.0551 (10),0.0447 (10),0.1721 (10),0.1206 (10),
201779,zoekende_machine,0.0266 (11),0.0179 (11),0.0078 (11),0.0355 (11),0.0213 (11),
