submission_pk,User,b'EvaluationScore',b'MeanReconError',b'MeanCompressedSize (x10)',b'CodebookSize (x10^6)'
286519,appppppp,0.20 (1),0.00 (1),0.20 (1),0.08 (6),
203480,burimd,1.88 (2),0.08 (4),1.80 (7),0.22 (7),
277414,robertca,1.95 (3),0.25 (10),1.70 (6),1.00 (23),
204573,pijaime,2.30 (4),0.60 (23),1.70 (6),1.00 (23),
203266,Liuxin_ETH,2.95 (5),0.15 (5),1.80 (7),1.05 (25),
214589,rsanness,3.69 (6),0.29 (14),3.40 (13),1.00 (23),
265625,javier,3.70 (7),0.30 (15),3.40 (13),0.66 (17),
196590,Gulliver,4.15 (8),0.75 (28),3.40 (13),1.00 (23),
219267,BjfpgZOC,4.51 (9),0.91 (34),3.60 (14),0.36 (10),
207810,zuedavid,4.81 (10),0.21 (6),3.60 (14),1.05 (25),
204808,passutte,4.92 (11),0.42 (20),4.50 (19),0.88 (21),
216918,lukaschu,5.03 (12),0.03 (2),4.00 (17),1.16 (27),
255189,nchromec,5.24 (13),0.24 (9),4.00 (17),1.16 (27),
209677,awaernsaeter,5.39 (14),0.79 (29),3.60 (14),1.05 (25),
248208,changyan,5.62 (15),0.82 (32),4.80 (21),0.48 (12),
207662,timgros,6.19 (16),2.29 (47),3.90 (16),0.77 (19),
200454,knillm,6.21 (17),0.81 (31),5.40 (24),0.53 (13),
207590,cici,6.65 (18),0.65 (24),6.00 (25),0.58 (15),
267023,foezdemir,6.74 (19),3.54 (56),3.20 (12),0.94 (22),
198731,boeschpa,6.81 (20),1.71 (42),5.10 (23),1.00 (23),
205630,yurohu,7.09 (21),0.29 (14),6.80 (28),1.00 (23),
197181,wenkelj,7.60 (22),4.20 (59),3.40 (13),0.33 (8),
233538,jorge.gacitua,7.67 (23),5.07 (65),1.60 (5),1.88 (39),
251403,pblascof,7.75 (24),4.55 (63),3.20 (12),0.94 (22),
236475,zjehan,8.20 (25),0.80 (30),6.40 (26),1.82 (37),
246785,smontorfani,8.50 (26),0.90 (33),3.60 (14),4.20 (57),
206705,matkurt,9.17 (27),1.97 (44),7.20 (29),0.22 (7),
278247,taskins,9.48 (28),1.48 (39),4.00 (17),4.64 (60),
271218,merklec,9.48 (28),1.48 (39),4.00 (17),4.64 (60),
198556,graldij,10.05 (29),6.65 (72),3.40 (13),1.00 (23),
259383,KondiK,10.15 (30),6.95 (76),3.20 (12),0.94 (22),
228952,markuenz,10.28 (31),6.28 (70),3.00 (11),1.77 (36),
208759,ancina,10.87 (32),0.67 (25),10.20 (35),1.00 (23),
252057,pinkpanther,12.04 (33),4.04 (58),4.00 (17),4.64 (60),
255510,ssssshuhu,12.54 (34),0.74 (27),10.80 (36),1.05 (25),
254218,psiegel,12.84 (35),3.24 (52),9.60 (33),0.94 (22),
197968,nicof,13.51 (36),7.51 (79),6.00 (25),0.58 (15),
202803,koehleto,13.99 (37),0.39 (18),13.60 (41),1.00 (23),
228334,schreibfheler,15.12 (38),1.52 (40),13.60 (41),1.00 (23),
303770,mhalter,15.95 (39),6.95 (75),9.00 (32),0.88 (21),
221763,ssteam,15.99 (40),6.79 (73),7.20 (29),2.10 (41),
221500,bokmang,16.08 (41),10.08 (88),5.00 (22),1.44 (31),
216765,Marsmaennchen,16.13 (42),5.13 (66),8.00 (31),3.17 (49),
201704,jaegeseb,16.44 (43),12.64 (101),2.80 (10),1.66 (34),
243258,tkuester,16.66 (44),0.06 (3),13.60 (41),3.98 (55),
197157,jgaber,16.83 (45),0.23 (8),13.60 (41),3.98 (55),
223062,bmicha,16.87 (46),0.27 (13),13.60 (41),3.98 (55),
220629,droman,16.87 (46),0.27 (13),13.60 (41),3.98 (55),
208778,stewidmer,16.87 (46),0.27 (13),13.60 (41),3.98 (55),
208910,anheinle,16.89 (47),0.29 (14),13.60 (41),3.98 (55),
208784,theinle,16.89 (47),0.29 (14),13.60 (41),3.98 (55),
202283,carolnf,16.91 (48),0.31 (16),13.60 (41),3.98 (55),
201751,twilhelm,16.91 (48),0.31 (16),13.60 (41),3.98 (55),
303003,rmahjoub,16.94 (49),0.94 (35),12.00 (39),4.64 (60),
195514,carafael,17.18 (50),9.18 (82),4.00 (17),4.64 (60),
216956,mgroepl,17.20 (51),12.60 (100),1.60 (5),3.76 (53),
201561,tstreule,17.27 (52),3.47 (55),12.80 (40),1.88 (39),
203203,aliyucekaleli,17.33 (53),5.33 (67),9.00 (32),3.54 (51),
246076,lukashol,17.53 (54),1.53 (41),12.00 (39),4.64 (60),
201627,Bibean,17.66 (55),0.26 (11),14.40 (42),3.98 (55),
205256,Batu_Arda_Duzgun,17.68 (56),0.68 (26),15.00 (43),2.88 (47),
276481,sgeisser,17.76 (57),3.36 (54),3.40 (13),11.17 (65),
278342,Felicien,17.93 (58),0.53 (21),14.40 (42),3.98 (56),
254444,totoro,17.93 (59),15.13 (111),1.80 (7),1.40 (29),
267291,EricUBast,18.23 (60),11.03 (92),7.20 (29),0.00 (2),
225212,skrebs,18.29 (61),2.49 (48),12.80 (40),3.76 (53),
207811,bmaechle,18.30 (62),2.50 (49),12.80 (40),3.76 (53),
251376,graberp,18.64 (63),0.24 (9),14.40 (42),4.20 (57),
203223,csvision,18.90 (64),14.30 (109),1.60 (5),3.76 (54),
215035,blclo,19.00 (65),12.80 (104),3.20 (12),3.76 (53),
262646,DogEgg,19.08 (66),15.88 (115),3.20 (12),0.94 (22),
208010,asperj,19.15 (67),3.35 (53),12.80 (40),3.76 (53),
253730,ocernin,19.44 (68),12.24 (99),7.20 (29),0.00 (3),
214499,Yuanxin_Pan,19.51 (69),18.61 (124),0.90 (4),0.03 (5),
201558,aletop,20.03 (70),0.03 (2),16.00 (45),4.64 (60),
203201,xumeng,20.17 (71),11.17 (94),9.00 (32),0.88 (21),
281378,marsimon,20.24 (72),0.24 (9),16.00 (45),4.64 (60),
230029,bierian,20.24 (72),0.24 (9),16.00 (45),4.64 (60),
207344,varulchelvan,20.26 (73),0.26 (12),16.00 (45),4.64 (60),
208666,Chuan,20.33 (74),4.53 (62),12.80 (40),3.76 (53),
270064,wangjo,20.36 (75),0.36 (17),16.00 (45),4.64 (60),
230030,sblum,20.37 (76),4.57 (64),12.80 (40),3.76 (53),
