submission_pk,User,b'F1',b'Precision',b'Recall'
368030,ursdth,0.746 (1),0.767 (3),0.727 (1),
376117,vbolshakov,0.738 (2),0.792 (2),0.691 (2),
313701,vdobrovolskii,0.684 (3),0.807 (1),0.594 (3),
365572,ephemeral,0.290 (4),0.554 (4),0.196 (4),
