submission_pk,User,b'F1',b'P',b'R'
153449,veysel_jsl,- (-),,,
152486,oa,- (-),,,
152085,lbouzoubaa,- (-),,,
152078,leungwai,- (-),,,
151971,sumam,- (-),,,
151507,StuZh,- (-),,,
150985,reshma_unnikrishnan,- (-),,,
150809,gokceuludogan,- (-),,,
150380,roshanvkhatri,- (-),,,
submission_pk,User,b'F1',b'P',b'R'
153449,veysel_jsl,- (-),,,
152486,oa,- (-),,,
152085,lbouzoubaa,- (-),,,
152078,leungwai,- (-),,,
151971,sumam,- (-),,,
151507,StuZh,- (-),,,
150985,reshma_unnikrishnan,- (-),,,
150809,gokceuludogan,- (-),,,
150380,roshanvkhatri,- (-),,,
submission_pk,User,b'F1',b'P',b'R'
150809,gokceuludogan,0.72 (1),0.8240 (3),0.6460 (3),
153449,veysel_jsl,0.72 (2),0.7820 (4),0.6620 (2),
152486,oa,0.69 (3),0.8810 (2),0.5690 (6),
151971,sumam,0.68 (4),0.7050 (6),0.6620 (2),
152078,leungwai,0.67 (5),0.7270 (5),0.6150 (4),
150985,reshma_unnikrishnan,0.63 (6),0.6610 (8),0.6000 (5),
150380,roshanvkhatri,0.56 (7),0.4300 (9),0.8000 (1),
152085,lbouzoubaa,0.51 (8),0.6750 (7),0.4150 (7),
151507,StuZh,0.17 (9),1.0000 (1),0.0920 (8),
