submission_pk,User,b'F1',b'ROUGE-2'
309219,bluesky,0.7485 (1),- (-),
301074,irit_iris,0.7228 (2),- (-),
293097,uottawa.NLP23,0.6782 (3),- (-),
302112,irene.benedetto,0.6771 (4),- (-),
309380,maodou,0.6735 (5),- (-),
308613,Pinal-Patel,0.6671 (6),- (-),
307137,AntContentTech,0.6416 (7),- (-),
309237,nicolay-r,0.6351 (8),- (-),
307906,DamoAI,0.6326 (9),- (-),
307947,xixilu556,0.6325 (10),- (-),
295412,ShubhamKumarNigam,0.5287 (11),- (-),
