submission_pk,User,b'f1',b'Precision',b'Recall'
386043,csuazob,0.9412 (1),0.9372 (4),0.9451 (1),
422139,VickBat,0.9283 (2),0.9283 (6),0.9283 (4),
399399,Arnold,0.9283 (2),0.9283 (6),0.9283 (4),
421906,EstebanPonce,0.9272 (3),0.9139 (10),0.9409 (2),
371581,mgraffg,0.9244 (4),0.9469 (2),0.9030 (6),
415222,agmegias,0.9231 (5),0.9098 (11),0.9367 (3),
404964,alejandrov90,0.9224 (6),0.9167 (9),0.9283 (4),
395601,Jorge,0.9191 (7),0.9270 (8),0.9114 (5),
403349,HoracioJarquin,0.9142 (8),0.9301 (5),0.8987 (7),
431298,danielvallejo237,0.9051 (9),0.9491 (1),0.8650 (10),
417194,rkcd,0.8989 (10),0.9167 (9),0.8819 (8),
394328,bowlOfPetunias,0.8976 (11),0.9279 (7),0.8692 (9),
431795,BrauuHdzm,0.8914 (12),0.9393 (3),0.8481 (11),
422178,Darthremar,0.7905 (13),0.8097 (12),0.7722 (12),
