submission_pk,User,b'PLCC',b'SROCC',b'Diff_Sim_AUC',b'Better_Worse_CC'
385303,rWatanabe,0.9462 (1),0.8929 (2),0.9127 (1),0.9803 (1),
385227,xuemei,0.9450 (2),0.8996 (1),0.9095 (2),0.9783 (2),
383612,zhang_yujie,0.9433 (3),0.8898 (3),0.9041 (4),0.9725 (3),
384343,orangeee,0.9391 (4),0.8778 (5),0.9054 (3),0.9690 (5),
379494,siater,0.9365 (5),0.8800 (4),0.8980 (5),0.9695 (4),
384894,pedro.gf,0.9127 (6),0.8239 (6),0.8598 (6),0.9466 (6),
385124,davinl,0.8890 (7),0.7734 (8),0.8422 (7),0.9125 (7),
384767,omessai,0.8086 (8),0.7937 (7),0.7312 (9),0.8939 (8),
375556,xsy,0.8015 (9),0.7176 (9),0.7545 (8),0.8767 (9),
345497,concombr,0.4768 (10),0.5306 (10),0.6520 (10),0.8022 (10),
