submission_pk,User,b'Total GMV',b'Total ROI'
53623,xiaojianyang820,9052479.5138 (1),19.98 (4),
53014,zhangweijian,9019303.3156 (2),20.08 (3),
53860,alanchguo,8871688.5961 (3),12.98 (8),
51579,tianjue,8871688.5961 (3),12.98 (8),
49974,QingLi,8839183.3169 (4),12.24 (9),
54329,Star-Wisher,8813579.4879 (5),8.54 (11),
51995,jeomin,8739584.8753 (6),20.70 (1),
52241,xiaohaizhu,8693344.0752 (7),20.70 (2),
54227,CLL,8655536.7489 (8),13.15 (7),
54189,freemanneo,8579873.1804 (9),18.11 (5),
54204,JiawenLi,8493511.1320 (10),8.74 (10),
54140,zhangjj,8409173.6879 (11),18.04 (6),
54223,hsl,8303130.9801 (12),6.61 (13),
52377,pengzhixiong,7816104.2398 (13),6.66 (12),
