submission_pk,User,b'Average CER',b'Bribri CER',b'Guarani CER',b'Kotiria CER',"b""Wa'ikhana CER""",b'Quechua CER'
202519,monirome,0.2685 (1),0.3470 (1),0.1559 (2),0.3659 (1),0.3523 (2),0.1214 (2),
201623,dn.hernandez,0.2936 (3),0.3609 (2),0.1389 (1),0.4719 (5),0.3692 (3),0.1270 (3),
201688,alumae,0.2772 (2),0.3701 (3),0.1804 (3),0.3742 (2),0.3437 (1),0.1176 (1),
199007,pywixarika,0.3935 (4),0.5114 (4),0.3057 (4),0.4500 (3),0.4394 (6),0.2612 (5),
202480,jfrvk133,0.4089 (5),0.5125 (5),0.3351 (6),0.5239 (6),0.4361 (5),0.2370 (4),
202326,spolezhaev,0.4931 (7),0.5333 (6),0.4178 (7),0.5748 (7),0.5640 (7),0.3756 (6),
202649,a.legchenko,0.4549 (6),0.6216 (7),0.3215 (5),0.4533 (4),0.4191 (4),0.4589 (7),
