submission_pk,User,b'AP',b'AP(50)',b'AP(75)',b'AP(small)',b'AP(medium)',b'AP(large)',b'AR(1)',b'AR(10)',b'AR(100)',b'AR(small)',b'AR(medium)',b'AR(large)'
257939,liyinze1,0.474 (1),0.854 (4),0.456 (1),0.434 (1),0.498 (2),0.746 (6),0.209 (2),0.591 (1),0.711 (1),0.693 (1),0.718 (1),0.848 (3),
235273,xichen,0.468 (2),0.870 (2),0.423 (2),0.418 (2),0.498 (1),0.776 (3),0.206 (3),0.563 (2),0.621 (2),0.576 (2),0.648 (2),0.852 (2),
71167,yangtze,0.462 (3),0.870 (1),0.402 (5),0.394 (4),0.490 (3),0.823 (1),0.209 (1),0.542 (5),0.560 (6),0.516 (6),0.580 (6),0.858 (1),
187982,gao20175428018,0.457 (4),0.861 (3),0.408 (3),0.395 (3),0.486 (4),0.775 (4),0.204 (4),0.548 (3),0.608 (3),0.563 (3),0.635 (3),0.839 (4),
130481,FlorisChen,0.454 (5),0.849 (5),0.406 (4),0.390 (5),0.479 (5),0.787 (2),0.203 (5),0.546 (4),0.582 (4),0.539 (4),0.603 (4),0.852 (2),
155314,luckiehao,0.430 (6),0.837 (6),0.368 (6),0.353 (7),0.466 (6),0.761 (5),0.201 (6),0.519 (7),0.544 (7),0.496 (7),0.571 (7),0.806 (5),
73070,yyc,0.420 (7),0.823 (7),0.355 (7),0.363 (6),0.444 (7),0.694 (8),0.193 (7),0.521 (6),0.565 (5),0.529 (5),0.584 (5),0.779 (6),
182463,YueMa,0.332 (8),0.701 (8),0.274 (8),0.238 (8),0.387 (8),0.730 (7),0.180 (8),0.422 (8),0.431 (8),0.342 (8),0.495 (8),0.770 (7),
84834,XDD,0.206 (9),0.474 (9),0.153 (9),0.133 (9),0.248 (9),0.560 (9),0.141 (9),0.271 (9),0.272 (9),0.179 (9),0.339 (9),0.607 (8),
97192,indicus995,0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (10),0.000 (9),
