submission_pk,User,b'Prediction score',b'Duration'
177124,acletournel,0.3333 (1),0.00 (1),
147260,pavao,0.3333 (1),0.00 (1),
147258,guyon,0.3333 (1),0.00 (1),
147259,ihsaan-ullah,0.3333 (1),0.00 (1),
