submission_pk,User,b'Mean joint error (procrustes alignment)',b'Mean joint error (scale and trans alignment)',b'Mean joint AUC (procrustes alignment)',b'Mean joint AUC (scale and trans alignment)',b'Mesh error (procrustes alignment)',b'Mesh error AUC (procrustes alignment)',b'F-score@5mm (procrustes alignment)',b'F-score@15mm (procrustes alignment)'
220787,reckless1,0.81 (1),2.23 (10),0.838 (1),0.581 (10),0.82 (3),0.837 (2),0.592 (4),0.973 (1),
303764,LUCV,0.81 (2),1.89 (5),0.838 (2),0.633 (6),0.82 (4),0.837 (3),0.613 (3),0.967 (4),
151209,HUnique,0.82 (3),15.40 (46),0.836 (3),0.070 (45),0.82 (5),0.836 (4),0.617 (2),0.964 (6),
229474,hellolin,0.82 (4),2.14 (8),0.835 (4),0.601 (8),0.79 (2),0.842 (1),0.619 (1),0.973 (2),
240533,fudan-boli,0.87 (5),2.99 (30),0.826 (5),0.504 (28),0.87 (6),0.827 (5),0.584 (5),0.963 (8),
167301,IPNet,0.87 (6),2.01 (7),0.826 (6),0.665 (2),0.89 (8),0.823 (7),0.577 (6),0.964 (7),
292290,SSI_S.LSI_RD_CV_mobile,0.88 (7),1.75 (1),0.824 (7),0.663 (3),0.91 (11),0.819 (10),0.559 (10),0.963 (9),
234808,SSI_S.LSI_RD_CV,0.90 (8),1.96 (6),0.821 (8),0.629 (7),0.91 (13),0.817 (12),0.546 (12),0.970 (3),
282842,jarvissun11,0.91 (9),2.29 (11),0.819 (9),0.570 (11),0.90 (9),0.820 (8),0.561 (9),0.962 (10),
494320,interaction_team,0.91 (10),2.40 (16),0.819 (11),0.557 (16),0.90 (10),0.819 (9),0.561 (8),0.962 (11),
254368,jsj630,0.91 (11),2.15 (9),0.819 (10),0.586 (9),0.88 (7),0.824 (6),0.571 (7),0.965 (5),
449208,bestme,0.92 (12),1.81 (2),0.817 (12),0.656 (4),0.97 (21),0.806 (20),0.508 (23),0.960 (13),
417450,super,0.92 (13),1.83 (3),0.817 (13),0.655 (5),0.98 (22),0.805 (21),0.512 (21),0.958 (14),
472084,temei,0.92 (14),2.41 (17),0.816 (14),0.560 (13),0.91 (12),0.817 (11),0.551 (11),0.962 (12),
416457,Keypoint-Fusion,0.94 (15),1.87 (4),0.814 (15),0.669 (1),-100.00 (1),-1.000 (42),0.000 (40),0.006 (41),
288020,jarvissun111,0.94 (16),2.40 (15),0.812 (16),0.555 (17),0.94 (15),0.813 (14),0.545 (13),0.957 (17),
305763,test_test_1,0.95 (17),2.78 (27),0.811 (17),0.513 (26),0.94 (14),0.813 (13),0.538 (14),0.958 (15),
247258,George_Burt,0.96 (18),2.46 (18),0.809 (18),0.547 (20),0.95 (16),0.810 (15),0.536 (15),0.954 (20),
442003,lx_edward,0.96 (19),2.48 (19),0.808 (19),0.545 (21),0.96 (19),0.808 (18),0.520 (18),0.957 (18),
330645,Galaxy,0.97 (20),3.23 (33),0.807 (20),0.456 (33),0.95 (17),0.809 (16),0.526 (17),0.955 (19),
450737,rex,0.98 (21),2.38 (14),0.804 (21),0.559 (15),0.98 (23),0.805 (22),0.520 (19),0.954 (21),
479011,Alan_Zoe,0.99 (22),2.35 (12),0.802 (22),0.562 (12),0.96 (18),0.808 (17),0.516 (20),0.958 (16),
342643,Helloworld123456,0.99 (23),2.77 (25),0.802 (23),0.516 (25),0.98 (24),0.803 (23),0.530 (16),0.948 (23),
190222,test_my,1.00 (24),3.17 (32),0.800 (24),0.461 (32),0.97 (20),0.807 (19),0.000 (42),0.000 (42),
171674,ako123,1.01 (25),2.38 (13),0.798 (25),0.560 (14),1.06 (29),0.789 (28),0.487 (26),0.946 (25),
239019,NickNick2,1.02 (26),2.95 (28),0.797 (26),0.479 (30),1.00 (25),0.801 (24),0.509 (22),0.948 (24),
101455,zijinxuxu,1.03 (27),3.86 (38),0.794 (27),0.403 (35),1.01 (26),0.797 (25),0.502 (24),0.951 (22),
428766,Maskros,1.05 (28),7.99 (43),0.791 (28),0.154 (42),1.38 (39),0.723 (38),0.444 (33),0.943 (27),
491915,WYT,1.05 (29),2.59 (23),0.790 (29),0.534 (24),1.05 (28),0.790 (27),0.488 (25),0.944 (26),
337332,blank1q1,1.05 (30),2.97 (29),0.790 (30),0.465 (31),1.04 (27),0.792 (26),0.478 (28),0.942 (28),
166542,ETH,1.08 (31),2.57 (21),0.786 (31),0.551 (19),5.47 (42),0.112 (41),0.000 (41),0.013 (40),
95147,bullet,1.08 (32),2.57 (22),0.786 (32),0.553 (18),5.47 (42),0.112 (41),0.000 (41),0.013 (40),
208830,hsjk,1.10 (33),4.48 (39),0.780 (33),0.301 (40),1.09 (31),0.781 (30),0.455 (31),0.936 (31),
305951,ziania,1.11 (34),3.67 (35),0.778 (34),0.388 (36),1.10 (32),0.781 (31),0.453 (32),0.938 (30),
96971,gohar1328,1.12 (35),3.31 (34),0.777 (35),0.424 (34),1.11 (33),0.779 (33),0.436 (34),0.934 (32),
172736,ATAboukhadra,1.13 (36),2.54 (20),0.775 (36),0.537 (22),1.07 (30),0.787 (29),0.479 (27),0.941 (29),
158128,dncfjy2013,1.14 (37),3.69 (36),0.773 (37),0.369 (37),1.14 (36),0.773 (35),0.428 (35),0.932 (33),
493792,ddd1029,1.14 (38),7.27 (42),0.772 (38),0.207 (41),1.12 (35),0.776 (34),0.458 (30),0.927 (34),
97108,batofgo,1.16 (39),4.54 (40),0.769 (39),0.344 (39),1.11 (34),0.779 (32),0.466 (29),0.927 (35),
241012,hpoes,1.18 (40),3.11 (31),0.764 (40),0.480 (29),5.47 (42),0.112 (41),0.000 (41),0.013 (40),
404453,seoul,1.21 (41),12.16 (45),0.759 (42),0.090 (44),1.27 (37),0.747 (36),0.392 (36),0.905 (37),
397447,meecooo,1.21 (42),2.78 (26),0.759 (43),0.508 (27),5.47 (42),0.112 (41),0.000 (41),0.013 (40),
376173,inspire,1.22 (43),2.73 (24),0.759 (41),0.534 (23),5.47 (42),0.112 (41),0.000 (41),0.013 (40),
460964,alicezrzhao,1.29 (44),3.80 (37),0.742 (44),0.364 (38),1.36 (38),0.729 (37),0.372 (37),0.907 (36),
223752,hoseong,4.59 (45),6.74 (41),0.227 (45),0.113 (43),5.47 (42),0.112 (41),0.000 (41),0.013 (40),
400534,merlinzfy,4.75 (46),11.99 (44),0.200 (46),0.069 (46),4.29 (40),0.259 (39),0.124 (38),0.506 (38),
483026,werty,4.79 (47),28.54 (47),0.176 (47),0.058 (47),5.46 (41),0.112 (40),0.002 (39),0.040 (39),
submission_pk,User,b'Mean joint error',b'Mean joint AUC',b'Mesh error',b'Mesh error AUC',b'F-score@5mm',b'F-score@15mm'
416457,Keypoint-Fusion,1.79 (1),0.675 (2),-100.00 (1),-1.000 (36),0.000 (34),0.008 (33),
167301,IPNet,1.80 (2),0.678 (1),1.83 (2),0.674 (1),0.443 (1),0.874 (1),
449208,bestme,1.90 (3),0.638 (4),1.87 (4),0.642 (3),0.334 (3),0.825 (3),
417450,super,1.91 (4),0.638 (3),1.88 (5),0.643 (2),0.344 (2),0.825 (2),
292290,SSI_S.LSI_RD_CV_mobile,1.92 (5),0.630 (5),1.87 (3),0.639 (4),0.327 (4),0.811 (4),
303764,LUCV,1.95 (6),0.621 (6),1.89 (6),0.632 (5),0.304 (5),0.794 (5),
234808,SSI_S.LSI_RD_CV,2.19 (7),0.584 (7),2.11 (7),0.598 (6),0.262 (9),0.770 (7),
171674,ako123,2.22 (8),0.581 (8),2.20 (9),0.584 (7),0.279 (6),0.776 (6),
254368,jsj630,2.24 (9),0.568 (9),2.18 (8),0.579 (8),0.269 (7),0.759 (8),
220787,reckless1,2.30 (10),0.566 (10),2.24 (10),0.577 (9),0.267 (8),0.736 (10),
282842,jarvissun11,2.39 (11),0.548 (11),2.33 (11),0.560 (10),0.261 (10),0.739 (9),
479011,Alan_Zoe,2.43 (12),0.542 (12),2.38 (12),0.553 (11),0.257 (15),0.732 (13),
450737,rex,2.48 (13),0.540 (14),2.41 (13),0.550 (14),0.257 (14),0.732 (12),
494320,interaction_team,2.49 (14),0.539 (15),2.42 (14),0.551 (13),0.260 (11),0.729 (14),
472084,temei,2.50 (15),0.541 (13),2.44 (15),0.551 (12),0.259 (12),0.736 (11),
288020,jarvissun111,2.51 (16),0.533 (16),2.44 (16),0.545 (15),0.254 (16),0.727 (16),
247258,George_Burt,2.56 (17),0.527 (17),2.49 (18),0.538 (17),0.253 (17),0.719 (18),
442003,lx_edward,2.57 (18),0.527 (18),2.50 (19),0.538 (18),0.257 (13),0.728 (15),
172736,ATAboukhadra,2.63 (19),0.517 (19),2.46 (17),0.542 (16),0.247 (19),0.721 (17),
491915,WYT,2.68 (20),0.517 (20),2.60 (20),0.528 (19),0.248 (18),0.707 (19),
376173,inspire,2.83 (21),0.511 (21),57.12 (38),0.000 (35),0.000 (35),0.000 (35),
342643,Helloworld123456,2.85 (22),0.499 (22),2.77 (21),0.510 (20),0.245 (20),0.692 (20),
305763,test_test_1,2.87 (23),0.497 (23),2.86 (22),0.509 (21),0.234 (21),0.688 (21),
241012,hpoes,3.02 (24),0.470 (25),57.12 (38),0.000 (35),0.000 (35),0.000 (35),
240533,fudan-boli,3.03 (25),0.491 (24),2.93 (23),0.504 (22),0.230 (22),0.668 (22),
337332,blank1q1,3.05 (26),0.450 (26),2.96 (24),0.464 (23),0.212 (23),0.650 (23),
190222,test_my,3.24 (27),0.445 (27),3.13 (25),0.460 (24),0.000 (35),0.000 (35),
330645,Galaxy,3.30 (28),0.439 (28),61.00 (41),0.000 (35),0.000 (35),0.000 (35),
