submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
372554,N11,22.01 (57),0.69 (59),-1.00 (1),-1.00 (3),-1.00 (1),
372455,allthebest,22.01 (56),0.69 (56),-1.00 (1),-1.00 (3),-1.00 (1),
372393,lyhvtEE,22.04 (54),0.69 (58),-1.00 (1),-1.00 (3),-1.00 (1),
372207,ylvthChem,22.00 (58),0.69 (65),-1.00 (1),-1.00 (3),-1.00 (1),
372106,kktomdehaze,20.67 (87),0.67 (76),-1.00 (1),-1.00 (3),-1.00 (1),
371760,balkan2,21.91 (63),0.69 (62),-1.00 (1),-1.00 (3),-1.00 (1),
371579,balkan,21.88 (64),0.68 (68),-1.00 (1),-1.00 (3),-1.00 (1),
371527,fvasluianu,9.43 (98),0.46 (98),-1.00 (1),-1.00 (3),-1.00 (1),
371471,PZH,20.21 (90),0.54 (95),-1.00 (1),-1.00 (3),-1.00 (1),
371370,DH-AISP,20.91 (82),0.62 (87),-1.00 (1),-1.00 (3),-1.00 (1),
371327,yangfan_sun,20.87 (83),0.62 (88),-1.00 (1),-1.00 (3),-1.00 (1),
370776,Yinwei_Wu,21.97 (59),0.68 (70),-1.00 (1),-1.00 (3),-1.00 (1),
370358,GroundTruth,20.14 (92),0.54 (94),-1.00 (1),-1.00 (3),-1.00 (1),
369558,wyndy,20.04 (93),0.53 (96),-1.00 (1),-1.00 (3),-1.00 (1),
369425,ycc6,22.12 (47),0.71 (2),-1.00 (1),-1.00 (3),-1.00 (1),
368914,Condown,22.58 (28),0.71 (15),-1.00 (1),-1.00 (3),-1.00 (1),
368438,RoyJiang,21.63 (70),0.68 (71),-1.00 (1),-1.00 (3),-1.00 (1),
367674,HaoqiangYang,22.11 (49),0.71 (3),-1.00 (1),-1.00 (3),-1.00 (1),
367612,Routine,20.25 (89),0.58 (90),-1.00 (1),-1.00 (3),-1.00 (1),
367416,Dehaze,21.68 (67),0.69 (64),-1.00 (1),-1.00 (3),-1.00 (1),
367094,haichuan,21.00 (78),0.68 (72),-1.00 (1),-1.00 (3),-1.00 (1),
366946,ManHing,21.62 (71),0.66 (79),-1.00 (1),-1.00 (3),-1.00 (1),
365764,omni_0,22.62 (23),0.70 (23),-1.00 (1),-1.00 (3),-1.00 (1),
365015,IMAGCX,21.05 (76),0.68 (74),-1.00 (1),-1.00 (3),-1.00 (1),
372674,azxyq,22.86 (5),0.71 (6),23.30 (25),0.00 (2),0.00 (2),
372666,hdgq11,22.83 (9),0.71 (12),23.30 (25),0.00 (2),0.00 (2),
372635,lightdehaze,22.01 (55),0.70 (47),96.39 (31),0.00 (2),0.00 (2),
372598,dehazingplus,22.81 (13),0.71 (14),1.00 (3),0.00 (2),0.00 (2),
372577,Trung,22.04 (53),0.69 (57),72.51 (30),0.00 (2),0.00 (2),
372560,wwwj,22.81 (12),0.71 (11),9.00 (15),0.00 (2),0.00 (2),
372540,yddqz,22.86 (6),0.71 (8),1.00 (3),0.00 (2),0.00 (2),
372505,YuanGao,21.75 (66),0.70 (52),3.80 (6),0.00 (2),0.00 (2),
372503,yhyl1,22.86 (4),0.71 (9),22.10 (23),0.00 (2),0.00 (2),
372466,nicai,21.66 (68),0.70 (50),3.70 (5),0.00 (2),0.00 (2),
372458,heiheiha,21.63 (69),0.69 (61),3.70 (5),0.00 (2),0.00 (2),
372412,bcqb,22.84 (8),0.71 (13),22.50 (24),0.00 (2),0.00 (2),
372326,wbrs,22.80 (14),0.71 (21),15.00 (21),0.00 (2),0.00 (2),
372255,AIzero,19.32 (95),0.54 (93),5.75 (9),1.00 (1),0.00 (2),
372208,WWZ,20.15 (91),0.54 (91),5.75 (9),1.00 (1),0.00 (2),
372209,xsourse,22.09 (50),0.65 (83),37.00 (27),0.00 (2),0.00 (2),
371982,WWZhen,20.01 (94),0.54 (92),5.89 (10),1.00 (1),0.00 (2),
371969,crbhf,22.82 (10),0.71 (19),15.00 (21),0.00 (2),0.00 (2),
371538,ssmnr3,22.84 (7),0.71 (10),15.00 (21),0.00 (2),0.00 (2),
371521,wuwu,21.75 (66),0.70 (52),3.70 (5),0.00 (2),0.00 (2),
371384,shdxfn,22.79 (16),0.71 (17),1.00 (3),0.00 (2),0.00 (2),
371418,sjmr,22.79 (16),0.71 (17),1.00 (3),0.00 (2),0.00 (2),
371394,JxQu,21.57 (72),0.69 (54),3.70 (5),0.00 (2),0.00 (2),
370970,tg-road,21.97 (60),0.70 (38),-1.00 (1),0.00 (2),0.00 (2),
370600,XuefeiYin,21.00 (78),0.68 (72),60.43 (29),0.00 (2),0.00 (2),
370534,lillian,22.96 (1),0.71 (22),9.00 (15),0.00 (2),0.00 (2),
370418,ggc,22.62 (24),0.71 (20),9.00 (15),0.00 (2),0.00 (2),
370416,ShawnDong98,22.18 (42),0.70 (30),-1.00 (1),0.00 (2),0.00 (2),
370210,eppark,21.13 (75),0.67 (77),1.00 (3),0.00 (2),0.00 (2),
370179,HazimEmad,20.95 (80),0.69 (53),50.00 (28),0.00 (2),0.00 (2),
370118,yfzm,22.65 (19),0.70 (31),11.50 (18),0.00 (2),0.00 (2),
370051,ylxb,22.80 (15),0.71 (16),1.00 (3),0.00 (2),0.00 (2),
369985,tmmdh,22.81 (11),0.70 (26),1.00 (3),0.00 (2),0.00 (2),
369806,bjfu,22.65 (21),0.71 (18),9.00 (15),0.00 (2),0.00 (2),
369801,pgydyd,22.56 (30),0.70 (51),14.55 (20),0.00 (2),0.00 (2),
369712,rzwd,22.48 (33),0.70 (49),0.00 (2),0.00 (2),0.00 (2),
369644,ZXCV,22.57 (29),0.69 (60),2.00 (4),0.00 (2),0.00 (2),
369613,bnsdmm,22.45 (35),0.70 (42),-1.00 (1),0.00 (2),0.00 (2),
369453,hjklmn,22.52 (31),0.70 (43),0.00 (2),0.00 (2),0.00 (2),
369420,bsfc,22.38 (40),0.70 (44),0.00 (2),0.00 (2),0.00 (2),
369148,dong_2624,22.61 (25),0.70 (48),2.00 (4),0.00 (2),0.00 (2),
369031,wjh_0610,20.78 (85),0.64 (85),472.00 (34),1.00 (1),0.00 (2),
369029,kblk,22.65 (22),0.70 (27),0.00 (2),0.00 (2),0.00 (2),
368953,kakaluoto,22.17 (43),0.70 (36),-1.00 (1),0.00 (2),0.00 (2),
368738,elesawy,20.69 (86),0.68 (73),723.60 (35),1.00 (1),0.00 (2),
368472,susan_24,22.78 (17),0.70 (24),2.00 (4),0.00 (2),0.00 (2),
368203,Stay_hungry,22.39 (39),0.70 (46),0.00 (2),0.00 (2),0.00 (2),
368100,Dehazing_HR,22.60 (26),0.70 (35),2.00 (4),0.00 (2),0.00 (2),
367935,zxcvbn,22.39 (38),0.70 (33),1.00 (3),0.00 (2),0.00 (2),
367705,shishei,21.55 (73),0.69 (63),-1.00 (1),0.00 (2),0.00 (2),
367281,eryuxiao,22.59 (27),0.70 (32),8.00 (13),0.00 (2),0.00 (2),
367268,baixike,22.41 (37),0.70 (40),8.00 (13),0.00 (2),0.00 (2),
367206,Subhajit1998,15.79 (97),0.48 (97),10.80 (17),0.00 (2),0.00 (2),
367153,CongXiaofeng,21.86 (65),0.67 (75),10.00 (16),0.00 (2),0.00 (2),
366455,YuGuo,21.04 (77),0.68 (67),-1.00 (1),0.00 (2),0.00 (2),
366203,liyuyan,21.96 (61),0.70 (37),-1.00 (1),0.00 (2),0.00 (2),
365990,xd163,22.65 (20),0.70 (29),1.00 (3),0.00 (2),0.00 (2),
364999,liangyi,20.92 (81),0.68 (66),-1.00 (1),0.00 (2),0.00 (2),
364900,TianQiu98,22.12 (48),0.70 (45),-1.00 (1),0.00 (2),0.00 (2),
364861,gyc2000,20.43 (88),0.66 (78),26.12 (26),0.00 (2),0.00 (2),
364814,Sonwe1e,19.23 (96),0.64 (86),17.00 (22),0.00 (2),0.00 (2),
372655,zhouh115,22.87 (3),0.71 (7),23.30 (25),0.00 (2),1.00 (3),
372613,ken103,22.93 (2),0.71 (5),9.00 (15),0.00 (2),1.00 (3),
372477,ir-sde,20.83 (84),0.61 (89),5.00 (7),0.00 (2),1.00 (3),
372444,ffxdz,22.71 (18),0.70 (25),22.50 (24),0.00 (2),1.00 (3),
371447,yan.wei,20.97 (79),0.65 (81),305.00 (33),1.00 (1),1.00 (3),
371159,Anas_Ali,21.92 (62),0.68 (69),120.00 (32),0.00 (2),1.00 (3),
371076,Anashxh,22.13 (46),0.65 (84),120.00 (32),0.00 (2),1.00 (3),
370621,Anas,22.27 (41),0.70 (28),12.00 (19),0.00 (2),1.00 (3),
369728,AnasM,22.07 (52),0.70 (41),120.00 (32),0.00 (2),1.00 (3),
369310,mrchang87,22.14 (44),0.71 (4),-1.00 (1),0.00 (2),1.00 (3),
369061,hsmy,22.48 (34),0.70 (39),-1.00 (1),0.00 (2),1.00 (3),
369022,z0303tw,22.13 (45),0.71 (1),-1.00 (1),0.00 (2),1.00 (3),
368968,dong_24,22.41 (36),0.69 (55),6.63 (12),0.00 (2),1.00 (3),
368913,onlycst,22.08 (51),0.65 (82),5.60 (8),0.00 (2),1.00 (3),
365325,lishuoshi1996,21.15 (74),0.66 (80),6.00 (11),1.00 (1),1.00 (3),
364784,monday21,22.50 (32),0.70 (34),8.89 (14),0.00 (2),1.00 (3),
