submission_pk,User,b'ARI'
253488,aayugay99,0.3389 (1),
256024,lkuz_mik,0.2245 (2),
253921,alexsend57,0.2215 (3),
251234,kuikek,0.2184 (4),
256543,ooodnakov,0.2077 (5),
252058,chomsky,0.1908 (6),
253809,Arkadiy_Vladimirov,0.1857 (7),
253752,Evgurov,0.1839 (8),
253556,EvgeniyGarsiya,0.1786 (9),
256373,Loyso,0.1745 (10),
254625,JuliaKudryavtseva,0.1739 (11),
256241,_twinkle_,0.1729 (12),
251134,azelentsov,0.1649 (13),
255333,st_alex2902,0.1575 (14),
252792,Gt854,0.1573 (15),
252539,andreuka18,0.1540 (16),
251006,jenchik1,0.1538 (17),
228762,lilaspourpre,0.1538 (17),
253698,Ryzagi,0.1528 (18),
253676,Vir_Ven,0.1515 (19),
257351,A.Demidova,0.1451 (20),
253773,happy_hippo,0.1434 (21),
253917,LaGrunje,0.1431 (22),
253881,maryushsoroka,0.1402 (23),
253311,art-bash,0.1372 (24),
253531,libraa,0.1321 (25),
253939,Anastasiia.Batsheva,0.1222 (26),
253269,Nick,0.1181 (27),
253595,niksukhorukov,0.1111 (28),
253580,rayan_gosling,0.1081 (29),
253928,mashmallow,0.0865 (30),
253368,a.makhin,0.0860 (31),
244905,artgoldman,0.0702 (32),
256268,Veronica_Ivanova,0.0637 (33),
253923,Anastasia,0.0579 (34),
255420,GlebMazanov,0.0531 (35),
253791,vadimpyx,0.0464 (36),
254120,Egor,0.0425 (37),
253833,abdulazizsamra,0.0348 (38),
