submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
372187,kawa_yo,0.0000000 (1),93.00 (1),0.085 (3),0.0639508 (1),
382462,EdiMuskardin,0.0000000 (1),120.00 (2),0.038 (1),0.0824521 (2),
407410,neuralchecker,0.0000000 (1),121.00 (3),0.074 (2),0.0831711 (3),
358773,r.hakimi,0.5000000 (2),148.00 (4),0.158 (4),0.3517917 (4),
350151,TAYSIR-Baseline,0.5000000 (2),150.00 (5),0.168 (5),0.3531740 (5),
