submission_pk,User,b'Macro F1'
291245,stce,0.8843 (1),
297671,yuchang,0.8796 (2),
295223,Fadi,0.8790 (3),
293875,newtonysls,0.8788 (4),
295529,PALI,0.8757 (5),
296835,lnb,0.8753 (6),
292864,hpl,0.8739 (7),
274837,tharindu,0.8736 (8),
295662,aj,0.8728 (9),
267878,corner,0.8722 (10),
297238,wxd,0.8715 (11),
298978,yangst,0.8706 (12),
299338,wfeely,0.8702 (13),
297993,jagol,0.8701 (14),
298308,Sana,0.8685 (15),
298760,g8a9,0.8681 (16),
289845,Soraya,0.8661 (17),
285541,Walid23,0.8657 (18),
257145,Chride,0.8640 (19),
289169,akshaylive,0.8635 (20),
298866,just_one,0.8611 (21),
296404,Nammas,0.8595 (22),
297637,kathyaier,0.8590 (23),
289106,Abdelkader,0.8590 (24),
296691,aakashgoel12,0.8559 (25),
295192,JoseAGD,0.8554 (26),
284717,amsqr,0.8550 (27),
287149,Alex.a,0.8525 (28),
298260,kdchernyshev,0.8521 (29),
298118,tiKsyami,0.8514 (30),
284210,Will_PKU,0.8506 (31),
298464,KingsmanTrio,0.8500 (32),
298946,pcj,0.8490 (33),
298940,christiechris,0.8466 (34),
251050,weizhqah,0.8460 (35),
252155,tsingriver,0.8459 (36),
291276,ariannamuti,0.8448 (37),
296418,yesyes,0.8440 (38),
282645,hahaheihei,0.8428 (39),
293657,b.nikandish,0.8426 (40),
215882,xiox19,0.8414 (41),
323020,debashish.roy,0.8414 (42),
298246,sr26,0.8411 (43),
280994,AdamR,0.8410 (44),
297156,I2C-HUELVA_G2,0.8403 (45),
299128,MB,0.8402 (46),
266408,h-Hopes,0.8401 (47),
295716,sandeeppandey456,0.8395 (48),
290297,ijindal,0.8390 (49),
297391,krandl,0.8374 (50),
291724,I2C-Huelva,0.8367 (51),
283388,AmitDasRup,0.8365 (52),
277311,tanusreenath,0.8341 (53),
293868,agarnitin86,0.8339 (54),
298846,nilsvisser,0.8338 (55),
259137,demitasse,0.8337 (56),
291243,I2C_Huelva,0.8325 (57),
283643,vitthal,0.8324 (58),
275234,Mano,0.8292 (59),
294543,Marufa_kamal,0.8276 (60),
297826,Adam-H,0.8271 (61),
275976,kanishk,0.8262 (62),
278389,Taha,0.8260 (63),
290237,doaa_obeidat,0.8258 (64),
289688,TomProvence1,0.8247 (65),
197494,fantasticmid,0.8245 (66),
262755,cyhuang,0.8240 (67),
222889,MstPhoenix,0.8229 (68),
288036,abhinav-kumar-thakur,0.8216 (69),
298291,helenpy,0.8204 (70),
299336,MarcelaCruz,0.8196 (71),
219169,Akriel,0.8195 (72),
273079,akzhan_uali,0.8189 (73),
286161,manaslfc,0.8178 (74),
272865,adriadar,0.8162 (75),
291192,roaa99mamoun,0.8147 (76),
262187,WisCarrot,0.8143 (77),
280363,lhk15,0.8133 (78),
290240,csecudsg,0.8131 (79),
283086,p.nakwijit,0.8131 (80),
298418,rucieryi,0.8125 (81),
309969,serene,0.8105 (82),
250400,giere,0.8101 (83),
223159,isegura,0.8096 (84),
259909,willimt,0.8094 (85),
291257,elisa.leonardelli,0.8092 (86),
267139,abumafrim,0.8065 (87),
285246,devorein,0.8063 (88),
297059,nouman10,0.8062 (89),
297883,Hjb,0.8059 (90),
310577,l_tran,0.8026 (91),
280365,WiebkeP,0.8024 (92),
298887,coco,0.8022 (93),
298816,aaronw,0.8019 (94),
299225,Mobina_Pournemat,0.7997 (95),
300265,rahaf_ahmad,0.7965 (96),
265825,amber-ch,0.7953 (97),
297320,S_Ab,0.7914 (98),
294998,rohit_raj,0.7884 (99),
243267,Suyog,0.7881 (100),
263217,polina_krasnova,0.7854 (101),
302555,advaitha,0.7771 (102),
304217,Padma,0.7717 (103),
290274,ysl,0.7704 (104),
225016,anastasiaibaeva,0.7675 (105),
295638,shimig,0.7674 (106),
299046,Olha_Kaminska,0.7591 (107),
392486,samanjoy2,0.7474 (108),
273206,try2becareful,0.7419 (109),
296322,PanwarJayant,0.7391 (110),
273301,iilyshag,0.7373 (111),
264984,adi1712,0.7279 (112),
272632,alekhinakate,0.7271 (113),
281920,maifeeulasad,0.7207 (114),
215192,mahab,0.7203 (115),
216889,annastep2001,0.7185 (116),
318068,DebadityaPal,0.7180 (117),
233754,Umar_1,0.6995 (118),
283596,GQLupiB,0.6955 (119),
279093,bobsbimal58,0.6865 (120),
284888,sad03,0.6587 (121),
298332,danch22,0.6550 (122),
284629,bluebalam,0.6486 (123),
251881,ranranran,0.6303 (124),
241263,lushan,0.6199 (125),
265699,abdelhak,0.5092 (126),
284355,tanvir,0.4946 (127),
282929,Hamed_Hematian,0.4308 (128),
216719,zengxingwei,0.4308 (128),
