submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10',b'APso',b'APmo',b'APho'
332091,YINGKAINING_1,46.89 (1),71.51 (2),47.49 (3),19.13 (2),52.11 (2),60.72 (11),53.25 (1),27.78 (1),
332335,peiyunc1989,46.10 (2),70.62 (3),48.31 (1),19.10 (3),51.31 (3),66.23 (2),52.69 (3),23.89 (6),
474560,KainingYing,45.71 (3),69.56 (4),47.14 (5),18.89 (6),51.19 (4),59.82 (12),51.78 (4),26.00 (3),
380924,miranheo,45.67 (4),68.93 (7),47.93 (2),19.57 (1),49.17 (13),65.46 (5),53.11 (2),26.36 (2),
190428,Starburst,45.07 (5),73.16 (1),45.02 (10),19.05 (5),51.03 (6),65.68 (3),51.12 (6),22.28 (9),
214481,KaiNing-Ying,44.48 (6),66.97 (11),47.32 (4),19.06 (4),52.17 (1),57.45 (17),50.40 (7),23.95 (5),
202101,tiantian.tt,44.19 (7),69.04 (5),46.70 (7),18.20 (15),51.18 (5),62.81 (9),50.30 (8),20.57 (10),
220684,lllllllllllllll,44.13 (8),69.00 (6),47.01 (6),18.69 (9),50.61 (7),67.42 (1),49.34 (11),19.60 (16),
469739,DeshuiMiao,43.94 (9),68.24 (8),45.22 (8),18.83 (8),47.41 (16),64.35 (7),51.74 (5),23.43 (8),
324827,qz96,43.17 (10),67.45 (10),44.18 (12),18.21 (14),49.43 (11),56.97 (18),46.08 (19),24.55 (4),
235612,higher_power,43.15 (11),66.01 (12),44.79 (11),18.83 (7),46.67 (18),63.67 (8),50.21 (9),23.55 (7),
186057,xianjing.xj,43.06 (12),67.46 (9),43.81 (13),18.17 (16),50.31 (8),60.76 (10),48.58 (13),19.89 (15),
199598,ID4,42.52 (13),65.42 (15),45.21 (9),17.78 (18),49.65 (9),58.78 (14),49.49 (10),19.24 (17),
176433,Carl_Huang,41.88 (14),65.69 (14),43.68 (14),18.28 (13),49.30 (12),58.97 (13),46.57 (17),19.21 (18),
173234,tomorrow,41.83 (15),65.91 (13),43.39 (16),17.62 (19),49.47 (10),58.56 (15),46.42 (18),19.96 (14),
446314,lick,41.69 (16),65.37 (16),43.11 (18),18.64 (10),44.98 (20),65.57 (4),48.86 (12),20.36 (11),
187786,nuc1203,41.61 (17),64.84 (17),43.66 (15),17.93 (17),48.58 (15),58.40 (16),47.58 (15),20.18 (12),
178795,Man,41.36 (18),64.83 (18),43.12 (17),18.63 (11),44.96 (21),65.02 (6),48.53 (14),20.00 (13),
182001,Yong,40.21 (19),63.11 (21),41.91 (19),17.39 (21),48.86 (14),55.28 (20),44.43 (20),17.86 (19),
166399,guming_peiyun,39.72 (20),63.70 (20),40.89 (20),18.42 (12),47.25 (17),56.07 (19),46.68 (16),17.11 (21),
169683,qfl,37.94 (21),63.99 (19),38.13 (21),17.48 (20),45.53 (19),54.12 (21),42.33 (21),17.25 (20),
227767,AA250250,37.53 (22),60.23 (22),37.22 (22),16.54 (23),43.84 (22),54.09 (22),40.68 (22),17.08 (22),
177048,SakuraT,34.50 (23),55.48 (23),35.21 (23),16.96 (22),41.42 (23),53.53 (23),38.64 (23),13.24 (23),
251693,lipengxiang,31.07 (24),54.14 (24),31.55 (24),15.15 (25),39.76 (24),42.71 (26),35.26 (25),11.92 (24),
457767,Hansul,29.44 (25),52.90 (25),29.83 (25),15.22 (24),34.27 (25),49.13 (24),35.70 (24),10.67 (25),
195335,maverickRen,27.51 (26),49.86 (26),26.26 (27),14.82 (26),33.90 (26),46.97 (25),31.26 (26),9.97 (27),
343839,XiangtaiLi,25.75 (27),47.01 (27),26.70 (26),14.44 (27),31.07 (27),42.53 (27),29.58 (27),10.22 (26),
438664,userkkk,20.38 (28),42.48 (28),17.99 (29),12.43 (28),24.66 (29),35.13 (29),24.79 (28),6.28 (29),
299784,rajatkoner08,20.33 (29),39.83 (30),18.79 (28),11.34 (30),28.39 (28),33.64 (30),23.78 (30),6.62 (28),
432877,grid,19.67 (30),40.67 (29),17.55 (30),11.58 (29),23.83 (31),36.16 (28),24.06 (29),6.19 (30),
445743,paf,15.44 (31),35.53 (31),12.76 (31),10.14 (32),21.83 (32),26.87 (32),16.56 (31),3.77 (31),
277021,zljia,15.16 (32),34.81 (32),12.32 (32),10.68 (31),24.21 (30),25.77 (33),16.51 (32),3.77 (32),
150285,qjy,13.88 (33),30.74 (33),11.89 (33),9.42 (33),19.43 (33),25.71 (34),15.75 (33),3.54 (33),
215718,Asaliya_,11.52 (34),25.53 (35),9.14 (34),8.53 (34),14.91 (34),27.18 (31),13.12 (34),2.24 (34),
441836,grid.,10.35 (35),26.40 (34),6.75 (35),7.33 (35),14.88 (35),19.93 (35),11.35 (35),1.87 (35),
320828,wangyuqing94,0.54 (36),1.97 (36),0.10 (36),0.35 (36),1.00 (36),1.07 (36),0.58 (36),0.02 (36),
179560,Tanveer81,0.01 (37),0.07 (37),0.00 (37),0.02 (37),0.06 (37),0.07 (37),0.03 (37),0.00 (37),
180950,lch,0.00 (38),0.00 (38),0.00 (38),0.00 (38),0.00 (38),0.00 (38),0.00 (38),0.00 (38),
