submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'Parameters',b'Extra Data [1] / No Extra Data [0]'
372450,sissie,29.00 (20),0.83 (26),0.04 (14),461176.00 (36),1.00 (1),
372349,zuoyi,29.00 (22),0.83 (14),0.56 (36),106968.00 (6),1.00 (1),
372303,clever_frog,28.96 (36),0.83 (32),0.03 (10),351984.00 (31),1.00 (1),
372199,lishen,29.00 (12),0.83 (21),0.04 (15),433448.00 (34),1.00 (1),
372121,ysy1022,29.00 (13),0.83 (11),0.14 (32),307488.00 (30),1.00 (1),
371570,Lumos,29.01 (10),0.83 (17),0.05 (17),262448.00 (26),1.00 (1),
371285,alan,28.97 (33),0.83 (42),0.04 (15),433448.00 (34),1.00 (1),
371281,Jabir,28.81 (49),0.83 (49),0.02 (5),198032.00 (17),1.00 (1),
371194,miaokang,28.96 (35),0.83 (34),0.12 (31),449000.00 (35),1.00 (1),
370637,GWu,28.95 (39),0.83 (35),0.10 (30),248000.00 (24),1.00 (1),
370371,m-wq,29.00 (23),0.83 (33),0.04 (15),433448.00 (34),1.00 (1),
369585,danny0411,28.46 (51),0.82 (51),0.02 (8),190560.00 (16),1.00 (1),
369530,YuruiZhu,28.99 (24),0.83 (22),0.43 (35),1.00 (3),1.00 (1),
369423,wangxi,28.98 (27),0.83 (25),0.43 (35),433448.00 (34),1.00 (1),
368934,heaseo,28.95 (41),0.83 (28),0.03 (12),285000.00 (28),1.00 (1),
368908,laonafahaodange,28.99 (25),0.83 (27),0.03 (11),401504.00 (32),1.00 (1),
368180,forhero,28.28 (53),0.81 (53),0.04 (15),433448.00 (34),1.00 (1),
367821,mingxi,29.00 (21),0.83 (12),0.04 (15),245000.00 (23),1.00 (1),
367820,Bolt,29.00 (14),0.83 (13),0.09 (29),95396.00 (5),1.00 (1),
367812,zhang9317112,29.02 (6),0.83 (5),0.09 (28),244558.00 (22),1.00 (1),
367795,zwyczhang,29.00 (14),0.83 (13),0.09 (29),95396.00 (5),1.00 (1),
366524,Well_Lee,29.00 (16),0.83 (40),0.24 (33),1033448.00 (40),1.00 (1),
365359,zjwu,29.00 (19),0.83 (18),0.07 (24),118243.00 (8),1.00 (1),
365034,icandle,28.95 (38),0.83 (38),0.03 (9),272224.00 (27),1.00 (1),
364219,stella_von,29.01 (7),0.83 (6),0.08 (26),129177.00 (9),1.00 (1),
363890,lhb_666,28.97 (32),0.83 (39),0.04 (15),433448.00 (34),1.00 (1),
362516,AweWoo,28.59 (50),0.82 (50),0.05 (18),183152.00 (15),1.00 (1),
362020,nikolasha,28.89 (44),0.83 (44),0.04 (15),433448.00 (34),1.00 (1),
361955,xiaokaoji,28.98 (31),0.83 (30),0.04 (15),433448.00 (34),1.00 (1),
361469,Y__Y,28.97 (34),0.83 (23),0.06 (20),173478.00 (11),1.00 (1),
360380,ylliu,29.01 (9),0.83 (8),0.07 (22),199922.00 (18),1.00 (1),
