submission_pk,User,b'PLCC',b'SROCC',b'Diff_Sim_AUC',b'Better_Worse_CC'
385329,rWatanabe,0.7043 (1),0.6767 (3),0.7606 (1),0.9397 (1),
385204,xuemei,0.6810 (2),0.7029 (1),0.7380 (3),0.9256 (2),
383443,zhang_yujie,0.6689 (3),0.6826 (2),0.7183 (5),0.9072 (3),
384599,orangeee,0.6672 (4),0.6500 (4),0.7435 (2),0.9041 (4),
379503,siater,0.6492 (5),0.6372 (5),0.7230 (4),0.8862 (5),
375562,xsy,0.4520 (6),0.4584 (6),0.5812 (6),0.8092 (6),
366623,omessai,0.3157 (7),0.3401 (7),0.5234 (8),0.7006 (7),
345506,concombr,0.0621 (8),0.1248 (8),0.5374 (7),0.6319 (8),
