submission_pk,User,b'cpCER'
314620,knowme,29.58 (1),
314393,asr000,30.01 (2),
317046,guopengcheng,31.21 (3),
316824,XMUSPEECH,31.88 (4),
316089,HiMia,32.10 (5),
315096,mashiro009,38.44 (6),
314641,tanya,41.70 (7),
313574,sunyujia,63.41 (8),
294457,MISP_Track2_Baseline,63.94 (9),
308467,dangkhoadl,76.54 (10),
