submission_pk,User,b'f1 (macro avg.)',b'f1 (weighted avg.)',b'U0104',b'U0108',b'U0110',b'U0203',b'U0204',b'U0207'
296037,tomoon,0.9633 (1),0.9653 (1),0.9757 (1),0.9711 (1),0.9660 (2),0.9721 (1),0.9138 (2),0.9245 (1),
294362,yuto21,0.9592 (2),0.9620 (2),0.9671 (2),0.9640 (2),0.9705 (1),0.9669 (2),0.9155 (1),0.9102 (2),
287044,crazy112,0.9241 (3),0.9361 (3),0.9309 (6),0.9297 (5),0.9317 (3),0.9317 (4),0.8846 (3),0.8747 (4),
295322,crazy112,0.9232 (4),0.9350 (4),0.9338 (5),0.9256 (6),0.9311 (4),0.9306 (5),0.8805 (4),0.8763 (3),
294727,Malton,0.9171 (5),0.9261 (6),0.9540 (3),0.9321 (3),0.9115 (6),0.9479 (3),0.8305 (6),0.8131 (12),
279304,Ritsumei,0.9154 (6),0.9268 (5),0.9248 (9),0.9192 (9),0.9199 (5),0.9228 (8),0.8765 (5),0.8744 (5),
295332,swagh1611,0.9112 (7),0.9221 (7),0.9384 (4),0.9204 (8),0.9104 (7),0.9263 (7),0.8101 (9),0.8673 (7),
295269,kazumakano,0.9057 (8),0.9127 (8),0.9214 (12),0.9299 (4),0.8978 (9),0.9212 (9),0.8079 (11),0.8723 (6),
231012,tomoon,0.8996 (9),0.8984 (10),0.9263 (8),0.9253 (7),0.8843 (11),0.9298 (6),0.7848 (13),0.8312 (10),
296069,liuqijd,0.8987 (10),0.9109 (9),0.9236 (11),0.9101 (10),0.8989 (8),0.9164 (10),0.8168 (8),0.8392 (8),
294781,aalanderos95,0.8822 (11),0.8964 (11),0.8997 (15),0.8998 (12),0.8798 (12),0.8853 (13),0.8083 (10),0.8035 (14),
261437,hmwri,0.8782 (12),0.8944 (12),0.9245 (10),0.8963 (13),0.8451 (14),0.8980 (11),0.7961 (12),0.7985 (15),
209625,komura,0.8758 (13),0.8926 (13),0.9281 (7),0.9005 (11),0.8490 (13),0.8846 (14),0.7643 (15),0.8327 (9),
294627,XAVIER096,0.8752 (14),0.8908 (14),0.8704 (17),0.8807 (14),0.8854 (10),0.8881 (12),0.8171 (7),0.8075 (13),
294229,UD,0.8725 (15),0.8809 (15),- (25),- (25),- (25),- (25),- (25),- (25),
247153,llillillillj,0.8585 (16),0.8665 (17),- (25),- (25),- (25),- (25),- (25),- (25),
282627,compound,0.8487 (17),0.8603 (18),0.9075 (14),0.8497 (17),0.8331 (16),0.8609 (16),0.7822 (14),0.7748 (17),
272649,SotaroFushimi,0.8466 (18),0.8666 (16),0.9082 (13),0.8613 (15),0.8165 (18),0.8660 (15),0.7164 (19),0.8176 (11),
284479,taksan,0.8390 (19),0.8516 (19),0.8667 (18),0.8539 (16),0.8280 (17),0.8464 (17),0.7612 (16),0.7932 (16),
292646,Tetsu_roo,0.8118 (20),0.8332 (20),0.8955 (16),0.8417 (18),0.7750 (21),0.8296 (18),0.6770 (21),0.6972 (21),
286437,syoka4156,0.8114 (21),0.8262 (21),0.8220 (19),0.7870 (21),0.8415 (15),0.8247 (20),0.7573 (17),0.7316 (19),
231559,llillillillj,0.8040 (22),0.8073 (22),- (25),- (25),- (25),- (25),- (25),- (25),
223859,rainy_day,0.7926 (23),0.8034 (23),0.7855 (22),0.7922 (20),0.7984 (20),0.8250 (19),0.7196 (18),0.7341 (18),
206493,swagh1611,0.7833 (24),0.7979 (24),0.8060 (20),0.8281 (19),0.7594 (22),0.8245 (21),0.6533 (22),0.6353 (22),
226659,yuto21,0.7816 (25),0.7822 (25),0.8010 (21),0.7633 (22),0.8150 (19),0.7887 (22),0.7158 (20),0.7210 (20),
295745,takatakatakataka,0.7696 (26),0.7773 (26),- (25),- (25),- (25),- (25),- (25),- (25),
294764,ryutarom,0.7683 (27),0.7684 (27),- (25),- (25),- (25),- (25),- (25),- (25),
295751,KGen,0.7476 (28),0.7577 (28),- (25),- (25),- (25),- (25),- (25),- (25),
291118,magixe,0.7340 (29),0.7476 (29),- (25),- (25),- (25),- (25),- (25),- (25),
290599,Shogo_Kawasome,0.6795 (30),0.6886 (30),- (25),- (25),- (25),- (25),- (25),- (25),
221305,sonnh,0.6552 (31),0.6655 (31),0.6862 (23),0.6711 (23),0.5949 (23),0.7035 (23),0.5394 (23),0.6015 (23),
295725,EmK,0.6205 (32),0.6248 (32),- (25),- (25),- (25),- (25),- (25),- (25),
287074,Tannt,0.4947 (33),0.5003 (33),- (25),- (25),- (25),- (25),- (25),- (25),
286925,iqmochi,0.3243 (34),0.3671 (34),- (25),- (25),- (25),- (25),- (25),- (25),
205434,Getty708,0.2862 (35),0.3181 (36),0.3015 (24),0.3159 (24),0.2321 (24),0.3137 (24),0.2305 (24),0.2351 (24),
284751,asaa,0.2702 (36),0.3184 (35),- (25),- (25),- (25),- (25),- (25),- (25),
282004,yqzhang147,0.0981 (37),0.1162 (37),- (25),- (25),- (25),- (25),- (25),- (25),
295018,takerueinaga,0.0177 (38),0.0172 (38),- (25),- (25),- (25),- (25),- (25),- (25),
