submission_pk,User,b'025_mug MSSD (cm)',b'011_banana MSSD (cm)',b'006_mustard_bottle MSSD (cm)',b'003_cracker_box MSSD (cm)',b'010_potted_meat_can MSSD (cm)',b'037_scissors_MSSD MSSD (cm)',b'035_power_drill MSSD (cm)',b'019_pitcher_base MSSD (cm)',b'021_bleach_cleanser MSSD (cm)',b'004_sugar_box MSSD (cm)',b'Mean MSSD (cm)'
198427,ericgty,4.97 (1),8.67 (1),10.810 (2),12.157 (1),6.14 (1),10.800 (2),8.836 (1),9.709 (1),5.985 (1),8.070 (2),8.235 (1),
163755,mu4yang,7.05 (2),8.78 (2),10.153 (1),12.951 (2),7.33 (2),10.671 (1),9.511 (2),9.838 (2),7.055 (2),7.879 (1),8.704 (2),
158854,bullet,16.28 (3),22.52 (4),24.241 (4),28.517 (4),19.61 (4),27.228 (4),31.384 (4),27.693 (4),31.221 (4),25.184 (4),24.462 (4),
184085,hpoes,17.55 (4),11.76 (3),12.479 (3),18.216 (3),9.65 (3),17.391 (3),20.153 (3),18.540 (3),13.717 (3),13.410 (3),14.575 (3),
