submission_pk,User,b'mAP'
176198,AIPRIME,72.930000 (1),
174842,Melody,72.923000 (2),
176208,Cai,71.634000 (3),
174896,USTC-IAT-United,71.179000 (4),
174886,Excalibur,70.232000 (5),
175195,WangHao,69.766000 (6),
176387,gonewithwind,68.587000 (7),
174819,tenforests,68.504000 (8),
175315,namho96,68.164000 (9),
176381,JUN-HWA,68.143000 (10),
174821,animilux,68.053000 (11),
174868,CBT,68.042000 (12),
175030,gugu,68.010000 (13),
174843,qxh,67.567000 (14),
174835,cosimo,67.561000 (15),
175620,hobeter,67.512000 (16),
174912,u7355608,67.103000 (17),
174879,namename,67.052000 (18),
174830,bobodada,66.886000 (19),
174816,northland,66.424000 (20),
174849,firstbrother_NOjuanle,66.169000 (21),
174959,orangejuice,64.923000 (22),
174969,xiuzhier,64.822000 (23),
174920,PinkEarth,64.745000 (24),
174944,whoare,64.721000 (25),
175116,HLHL,64.686000 (26),
175112,blueapple,64.678000 (27),
175141,Monamour,64.623000 (28),
175853,soony,64.568000 (29),
175139,bluebanana,64.504000 (30),
175170,bright_light,64.152000 (31),
175212,buke,64.070000 (32),
174936,hsansui,63.667000 (33),
175617,sthoduka,60.445000 (34),
175219,hhd,60.048000 (35),
175011,Anti-Convolution,59.717000 (36),
175895,huangjch526,50.488000 (37),
