submission_pk,User,b'Top1 accuracy'
173471,bmwbest1,0.79 (1),
176880,GroundTruth,0.78 (2),
173418,ferria,0.78 (3),
176862,PingPingPangPangBangBangBang,0.77 (4),
176735,BingDwenDwen,0.77 (5),
176569,Pan,0.75 (6),
174219,g_xyz,0.75 (7),
174719,ZhaoYuxuan,0.71 (8),
176538,asd,0.69 (9),
176520,jiruowan1024,0.67 (10),
176870,joonjeon,0.61 (11),
155833,viswesh-n,0.35 (12),
113766,rjbruin,0.31 (13),
