submission_pk,User,b'Bit Score'
420199,VIE_77,0.34 (1),
420126,laod,0.32 (2),
420112,ducky,0.31 (3),
420363,avengers,0.30 (4),
420333,tobesixty,0.28 (5),
420424,abcaaa,0.27 (6),
419655,sukantabasu,0.18 (7),
