submission_pk,User,b'xyz_mean3d',b'xyz_auc3d',b'xyz_al_mean3d',b'xyz_al_auc3d'
203195,IDL,1.3 (1),0.7 (2),3.4 (1),0.5 (1),
203032,CunlinWu,1.3 (2),0.8 (1),3.5 (2),0.5 (2),
170326,mu4yang,4.7 (3),0.5 (3),3.9 (3),0.4 (3),
176550,lynn,25.9 (4),0.0 (4),4.7 (4),0.3 (4),
193263,charlieJ,25.9 (5),0.0 (5),6.3 (5),0.1 (5),
