submission_pk,User,b'PSNR(RGB)',b'PSNR(Y)',b'SSIM(RGB)',b'SSIM(Y)'
372176,CMM,23.9090 (1),25.3280 (1),0.7396 (1),0.7479 (1),
372164,caopulan,23.8041 (2),25.2195 (2),0.7356 (2),0.7431 (2),
371482,HuanZheng,23.7252 (3),25.1445 (3),0.7309 (3),0.7391 (5),
372642,KerrChen,23.7121 (4),25.1293 (4),0.7306 (5),0.7392 (4),
372398,yunzhelimac,23.7121 (4),25.1293 (4),0.7306 (5),0.7392 (4),
372629,Allen_CT,23.7118 (5),25.1290 (5),0.7307 (4),0.7394 (3),
372360,sherrylee,23.7111 (6),25.1284 (6),0.7305 (6),0.7392 (4),
372105,hhhhhts,23.7056 (7),25.1280 (7),0.7285 (7),0.7368 (6),
370268,yeehengwang,23.7044 (8),25.1269 (8),0.7284 (8),0.7367 (7),
372491,LongClaw,23.6800 (9),25.1019 (9),0.7268 (9),0.7354 (8),
370133,JingxiangChen1,23.6556 (10),25.0764 (10),0.7261 (10),0.7345 (9),
371188,LvJiangtao,23.6076 (11),25.0245 (11),0.7254 (11),0.7331 (10),
369632,JintaoZeng,23.5189 (12),24.9392 (12),0.7211 (12),0.7298 (11),
371296,guochaochen,23.4304 (13),24.8806 (13),0.7118 (13),0.7247 (12),
370843,AlexZou,23.3213 (14),24.7248 (15),0.7087 (16),0.7208 (13),
363696,Wedream,23.2988 (15),24.7145 (16),0.7092 (15),0.7183 (15),
364255,BoxiongWu,23.2939 (16),24.7838 (14),0.7001 (17),0.7185 (14),
372020,webbzhou,22.9444 (17),24.3525 (18),0.7105 (14),0.7247 (12),
370190,Findpurewater,22.9108 (18),24.4373 (17),0.6833 (18),0.6966 (17),
369621,xiaozhazha,22.5467 (19),23.9350 (20),0.6768 (19),0.6989 (16),
365373,sumhhhh,22.3950 (20),24.2076 (19),0.6284 (24),0.6759 (21),
371459,ArcticFall,22.3344 (21),23.7396 (22),0.6680 (21),0.6895 (18),
368181,nathan,22.2755 (22),23.8999 (21),0.6555 (22),0.6848 (20),
366308,immortal,22.1761 (23),23.6217 (24),0.6705 (20),0.6864 (19),
372217,ZHZhao,22.0934 (24),23.7112 (23),0.6092 (25),0.6367 (23),
371088,zhengmingjun,21.9490 (25),23.5708 (25),0.6030 (26),0.6311 (24),
367249,SSSL,21.9115 (26),23.2868 (28),0.6546 (23),0.6714 (22),
366207,kkkls,21.7776 (27),23.3852 (26),0.5979 (27),0.6260 (25),
365131,zhongbao97,21.7726 (28),23.3807 (27),0.5978 (28),0.6260 (25),
371313,mehta,19.6438 (29),20.8441 (30),0.5973 (29),0.6072 (26),
372108,ir-sde,19.4413 (30),20.8620 (29),0.5243 (30),0.5539 (27),
