submission_pk,User,b'Text Recog. Acc.'
401243,avengers,66.32 (1),
396726,VIE_77,65.79 (2),
396566,ahmjz,65.10 (3),
410322,abcaaa,55.85 (4),
406771,tobesixty,50.61 (5),
409827,JinYong,48.34 (6),
355039,laod,38.39 (7),
417571,audi666,34.38 (8),
296645,xg416,34.38 (8),
