submission_pk,User,b'F1-score (macro-avg.)'
493952,Lancelot53,0.63428 (1),
493668,UNNC_POWER,0.59744 (2),
492376,atharv,0.59597 (3),
494202,UNNC_ISEAN,0.28508 (4),
493303,popeye,0.17910 (5),
