submission_pk,User,b'score',b'IoU Static',b'IoU Motion'
457945,www,0.46 (1),0.99 (1),0.45 (1),
460042,tanutarou,0.38 (2),0.99 (3),0.37 (2),
458724,bailanteam,0.37 (3),0.99 (4),0.36 (3),
457092,Yuyu,0.34 (4),0.98 (8),0.33 (4),
453888,lnyang,0.28 (5),0.99 (5),0.27 (5),
458775,bailan_wangustc,0.23 (6),0.99 (2),0.21 (6),
447171,ruphan,0.22 (7),0.98 (7),0.20 (7),
440049,jinjiboy,0.13 (8),0.93 (9),0.09 (8),
443127,pakapro,0.05 (9),0.99 (6),0.00 (9),
