submission_pk,User,b'F_score',b'Precision',b'Recall'
145085,Dialga,- (-),,,
145074,Zoumaolude,- (-),,,
145066,AlbertShen,- (-),,,
145061,cpic,- (-),,,
145054,beautylilac,- (-),,,
145043,DataAI,- (-),,,
145036,yangyangyang,- (-),,,
145034,ric,- (-),,,
145010,cp15,- (-),,,
144974,gmn,- (-),,,
144931,andriyyyy,- (-),,,
144825,Rooki3Ray,- (-),,,
144667,wwwssy,- (-),,,
144656,keyes,- (-),,,
144222,RiverCat_w,- (-),,,
submission_pk,User,b'F_score',b'Precision',b'Recall'
145066,AlbertShen,0.9188 (1),0.9196 (2),0.9218 (1),
145085,Dialga,0.9170 (2),0.9284 (1),0.9106 (2),
145074,Zoumaolude,0.9015 (3),0.9044 (3),0.9019 (3),
145061,cpic,0.8731 (4),0.8989 (4),0.8580 (4),
144825,Rooki3Ray,0.8522 (5),0.8539 (8),0.8547 (5),
144931,andriyyyy,0.8504 (6),0.8747 (5),0.8361 (7),
145036,yangyangyang,0.8497 (7),0.8737 (6),0.8367 (6),
144222,RiverCat_w,0.8307 (8),0.8376 (10),0.8281 (8),
145043,DataAI,0.8141 (9),0.8429 (9),0.7994 (9),
144667,wwwssy,0.8140 (10),0.8579 (7),0.7896 (10),
144974,gmn,0.7771 (11),0.8347 (11),0.7464 (13),
145054,beautylilac,0.7721 (12),0.8017 (12),0.7555 (11),
145034,ric,0.7712 (13),0.8012 (13),0.7545 (12),
145010,cp15,0.7404 (14),0.7891 (14),0.7139 (14),
144656,keyes,0.2759 (15),0.3606 (15),0.2399 (15),
