submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
72407,zhengqian,45.79 (5),0.98 (5),-1.00 (1),-1.00 (1),-1.00 (1),
72375,ipg_mrc,46.32 (1),0.98 (1),-1.00 (1),-1.00 (1),-1.00 (1),
72265,UHD,45.79 (6),0.98 (4),-1.00 (1),-1.00 (1),-1.00 (1),
72228,balabala,45.62 (9),0.98 (6),-1.00 (1),-1.00 (1),-1.00 (1),
71747,zhongbao97,45.43 (11),0.98 (10),-1.00 (1),-1.00 (1),-1.00 (1),
71445,jina.gao,45.66 (7),0.98 (7),-1.00 (1),-1.00 (1),-1.00 (1),
70601,zhangzhilu,45.47 (10),0.98 (9),-1.00 (1),-1.00 (1),-1.00 (1),
70265,Senta,45.80 (4),0.98 (5),-1.00 (1),-1.00 (1),-1.00 (1),
69191,guyan,45.66 (8),0.98 (8),-1.00 (1),-1.00 (1),-1.00 (1),
68306,NeverGiveUp,45.89 (3),0.98 (3),-1.00 (1),-1.00 (1),-1.00 (1),
67369,MeiyaChen,44.30 (13),0.98 (12),-1.00 (1),-1.00 (1),-1.00 (1),
64598,mbzuai,37.67 (21),0.93 (19),-1.00 (1),-1.00 (1),-1.00 (1),
64462,Null,45.19 (12),0.98 (11),-1.00 (1),-1.00 (1),-1.00 (1),
62025,zjx7906,23.34 (23),0.62 (22),-1.00 (1),-1.00 (1),-1.00 (1),
60994,haewon,35.20 (22),0.89 (21),-1.00 (1),-1.00 (1),-1.00 (1),
54794,greatlog,44.16 (15),0.98 (14),-1.00 (1),-1.00 (1),-1.00 (1),
52979,erick,42.39 (16),0.97 (15),-1.00 (1),-1.00 (1),-1.00 (1),
52614,gatherline,40.32 (19),0.96 (18),-1.00 (1),-1.00 (1),-1.00 (1),
51656,melon,44.19 (14),0.98 (13),-1.00 (1),-1.00 (1),-1.00 (1),
49766,lmquan,42.21 (18),0.97 (17),-1.00 (1),-1.00 (1),-1.00 (1),
47833,Layer,42.24 (17),0.97 (16),-1.00 (1),-1.00 (1),-1.00 (1),
47631,mialgo_ls,37.98 (20),0.93 (20),-1.00 (1),-1.00 (1),-1.00 (1),
46601,stu_tools,46.19 (2),0.98 (2),-1.00 (1),-1.00 (1),-1.00 (1),
42012,goutamgmb,42.24 (17),0.97 (16),-1.00 (1),-1.00 (1),-1.00 (1),
