submission_pk,User,b'MAE All',b'MAE C3',b'MAE C2',b'MAE C1',b'MAE C0'
354539,xiaozhazha,8.0114 (1),17.8523 (1),2.1325 (1),5.2429 (2),19.4600 (2),
316280,boosterbenchmark,28.4396 (2),135.1858 (3),16.2645 (2),4.7598 (1),3.7284 (1),
375590,ChengzhiCao,102.8910 (3),101.8952 (2),54.9120 (3),113.7267 (3),128.8638 (3),
362732,lemon29404,314.5859 (4),355.2107 (4),323.7049 (4),316.9496 (4),321.8844 (4),
