submission_pk,User,b'T2V_Recall@1',b'T2V_Recall@5',b'T2V_Recall@10',b'T2V_Recall@50',b'T2V_MedR',b'T2V_MeanR',b'T2V_Geometric_Mean_R1-R5-R10',b'V2T_Recall@1',b'V2T_Recall@5',b'V2T_Recall@10',b'V2T_Recall@50',b'V2T_MedR',b'V2T_MeanR',b'V2T_Geometric_Mean_R1-R5-R10'
446516,pakapro,0.07 (7),0.07 (7),0.22 (7),1.72 (7),1400.00 (1),1381.27 (1),0.11 (7),0.04 (6),0.11 (7),0.22 (7),1.72 (7),1400.00 (1),1381.42 (1),0.10 (7),
469126,starsholic,19.62 (3),36.67 (3),44.41 (3),60.47 (5),18.00 (4),233.05 (2),31.73 (3),17.53 (3),36.05 (3),43.38 (4),59.85 (5),19.00 (3),231.00 (2),30.15 (3),
465607,spade,12.47 (5),29.01 (5),38.21 (5),61.86 (4),23.00 (3),178.35 (3),24.00 (5),14.26 (4),32.42 (5),41.58 (5),64.10 (4),19.00 (3),162.60 (3),26.79 (5),
447049,weijia96,12.47 (5),29.01 (5),38.21 (5),61.86 (4),23.00 (3),178.35 (3),24.00 (5),14.26 (4),32.42 (5),41.58 (5),64.10 (4),19.00 (3),162.60 (3),26.79 (5),
469493,leaves,21.86 (2),41.11 (2),48.15 (2),67.88 (3),12.00 (6),162.65 (4),35.10 (2),17.68 (2),42.98 (2),51.56 (2),70.11 (3),9.00 (5),139.16 (4),33.96 (2),
469435,BIGbaodan,26.62 (1),48.29 (1),55.96 (1),73.23 (1),6.00 (7),150.63 (5),41.59 (1),22.96 (1),44.96 (1),55.41 (1),74.04 (1),7.00 (6),125.13 (6),38.53 (1),
467725,some,4.91 (6),15.33 (6),23.10 (6),51.96 (6),46.00 (2),144.86 (6),12.03 (6),4.07 (5),15.00 (6),22.70 (6),52.26 (6),46.00 (2),130.48 (5),11.15 (6),
468658,wumeiqi,12.83 (4),33.00 (4),44.30 (4),69.71 (2),15.00 (5),118.86 (7),26.57 (4),14.26 (4),34.73 (4),45.10 (3),70.66 (2),14.00 (4),105.02 (7),28.17 (4),
466106,zhaoyanchao22,12.83 (4),33.00 (4),44.30 (4),69.71 (2),15.00 (5),118.86 (7),26.57 (4),14.26 (4),34.73 (4),45.10 (3),70.66 (2),14.00 (4),105.02 (7),28.17 (4),
466103,zgq,12.83 (4),33.00 (4),44.30 (4),69.71 (2),15.00 (5),118.86 (7),26.57 (4),14.26 (4),34.73 (4),45.10 (3),70.66 (2),14.00 (4),105.02 (7),28.17 (4),
