submission_pk,User,b'Average Macro F1',b'F1 Gender',b'F1 Profession',b'F1 Ideology Binary',b'F1 Ideology Multiclass'
368310,mgraffg,0.994091 (1),0.976366 (1),1.000000 (1),1.000000 (1),1.000000 (1),
333657,chema969,0.639988 (2),0.668853 (2),0.514030 (3),0.814024 (2),0.563043 (2),
322765,JoseAGD,0.547357 (3),0.492635 (3),0.544787 (2),0.750363 (3),0.401642 (3),
