submission_pk,User,b'f_score',b'precision',b'recall'
470310,Anonymous,- (-),,,
468420,Anonymous,- (-),,,
submission_pk,User,b'Accuracy',b'accuracy_at_161',b'AUC'
470310,Anonymous,0.3261 (1),- (-),0.3005 (1),
468420,Anonymous,0.0000 (2),- (-),0.0000 (2),
submission_pk,User,b'F_score_AVG',b'F_score_T1',b'F_score_T2-1',b'F_score_T2-2',b'F_score_T2-3',b'F_score_T3'
470310,Anonymous,,- (-),,,,,
468420,Anonymous,,- (-),,,,,
