submission_pk,User,b'<Rank>',b'Equal Mis-Opportunity Prison',b'Equal Mis-Opportunity Probation',b'Accuracy',b'Duration'
48353,gaetanserre,3.3019 (6),0.9831 (1),0.9879 (1),0.4998 (7),0.00 (1),
58130,ziqian,3.1510 (7),0.9622 (2),0.9847 (2),0.5608 (5),0.00 (1),
193244,vuk.ignjatovic,4.1510 (3),0.7378 (3),0.6871 (3),0.5469 (6),0.00 (1),
91690,Alexandre,3.6163 (4),0.4540 (4),0.5608 (4),0.6121 (3),0.00 (1),
80351,gabriel.lauzzana,3.4654 (5),0.2801 (5),0.4105 (5),0.6221 (1),0.00 (1),
54698,guyon,4.4654 (2),0.2789 (6),0.3982 (6),0.6139 (2),0.00 (1),
66646,ihsaan-ullah,5.8490 (1),0.1262 (7),0.1878 (7),0.5693 (4),0.00 (1),
63809,SSara,5.8490 (1),0.1262 (7),0.1878 (7),0.5693 (4),0.00 (1),
63435,trustai,5.8490 (1),0.1262 (7),0.1878 (7),0.5693 (4),0.00 (1),
58107,ziqian2,5.8490 (1),0.1262 (7),0.1878 (7),0.5693 (4),0.00 (1),
