submission_pk,User,b'final score (%)',b'area score (%)',b'shape score (%)',b'color score (%)'
118188,rayee,69.56 (1),87.32 (4),68.63 (1),70.49 (3),
117033,Raywit,67.58 (2),88.42 (2),65.01 (3),70.54 (2),
110509,Janaldo,66.32 (3),87.52 (3),62.84 (4),69.79 (4),
117257,binyang,66.03 (4),88.59 (1),59.81 (5),72.25 (1),
98374,lower_bound,65.96 (5),80.24 (6),66.93 (2),65.00 (6),
112171,kitsunetic,61.51 (6),86.12 (5),54.08 (6),68.94 (5),
