submission_pk,User,b'skill'
91184,davidadamevans,0.41 (1),
91062,mcaddy,0.47 (2),
90931,sanjeev30,0.63 (3),
89494,occamsrazor,0.64 (4),
74207,obedsims,0.73 (5),
80946,Minghao_Xu,0.75 (6),
80894,ECONET,1.00 (7),
63957,wpd_challenges,1.00 (7),
73137,ElisaEvans,1.10 (8),
