submission_pk,User,b'final score (%)',b'area score (%)',b'shape score (%)',b'length score (%)',b'edge score (%)'
116309,Janaldo,50.75 (1),92.58 (3),59.05 (3),57.15 (1),42.44 (1),
111737,xeniache,43.58 (2),92.66 (2),62.26 (2),39.04 (2),24.89 (2),
99328,lower_bound,34.62 (3),92.85 (1),64.30 (1),14.32 (3),4.95 (3),
