submission_pk,User,b'mAP@0.50',b'mAP@0.55',b'mAP@0.60',b'mAP@0.65',b'mAP@0.70',b'mAP@0.75',b'mAP@0.80',b'mAP@0.85',b'mAP@0.90',b'mAP@0.95',b'Avg.mAP'
166342,linxt,29.93 (1),27.62 (1),25.23 (1),22.82 (1),20.07 (1),17.15 (1),13.93 (1),10.17 (1),6.48 (1),2.56 (2),17.60 (1),
164068,accc,25.90 (2),23.51 (2),21.34 (2),19.32 (2),16.93 (2),14.46 (2),11.98 (2),9.21 (2),5.79 (2),2.00 (3),15.04 (2),
164654,xjgnqnl,11.94 (3),11.04 (3),10.42 (3),9.70 (3),8.91 (3),7.94 (3),6.95 (3),5.90 (3),4.35 (3),2.76 (1),7.99 (3),
164531,AIG,0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),
163609,LateBird,0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),0.00 (4),
