submission_pk,User,b'meanAP',b'APpedestrian',b'APcyclist',b'APcar',b'APtruck',b'APtram',b'APtricycle'
190425,reacher1111,94.65 (1),92.52 (1),96.57 (1),94.95 (1),95.18 (1),96.19 (1),92.50 (1),
191291,gavin,84.75 (2),85.50 (2),92.40 (2),92.87 (2),86.72 (2),86.98 (2),64.04 (2),
184275,zuoxinmeng,81.53 (3),82.08 (3),89.43 (3),92.21 (3),86.28 (3),84.24 (3),54.96 (3),
171116,Charles,72.87 (4),78.71 (5),84.75 (4),87.77 (4),73.51 (4),73.09 (4),39.41 (7),
385797,qiqi,71.66 (5),77.20 (7),82.34 (8),84.82 (6),72.87 (5),70.84 (6),41.86 (6),
185752,reacher,71.32 (6),77.23 (6),80.29 (9),83.50 (9),72.05 (6),71.60 (5),43.25 (4),
184289,cthun,71.14 (7),78.92 (4),84.02 (5),84.97 (5),71.61 (7),68.06 (8),39.26 (8),
185304,zhangyt,70.38 (8),76.55 (9),82.54 (7),83.52 (8),70.31 (9),66.30 (9),43.05 (5),
189025,curry0504,69.39 (9),77.03 (8),83.47 (6),84.35 (7),71.08 (8),69.72 (7),30.69 (11),
185363,zzz,65.66 (10),71.86 (10),80.24 (10),81.66 (10),64.88 (11),63.96 (10),31.38 (9),
185480,chenwei,64.45 (11),71.03 (11),76.59 (11),79.83 (11),65.04 (10),63.13 (11),31.08 (10),
352390,gugugaga,58.04 (12),61.90 (12),73.40 (12),73.96 (12),57.04 (12),53.85 (12),28.13 (12),
