submission_pk,User,b'V@0.10:0.90',b'F@0.5',b'V@0.2',b'V@0.5',b'V@0.05:0.45',b'V@0.50:0.95'
170749,gukirt,31.709 (1),51.584 (1),56.355 (1),33.785 (1),51.801 (1),13.493 (1),
174731,JosmyFaure,12.843 (2),34.826 (2),28.276 (3),9.954 (2),24.494 (2),2.732 (2),
172917,zwtu,12.378 (3),31.880 (4),28.564 (2),8.258 (3),24.210 (3),2.163 (7),
174631,ckk,12.230 (4),31.296 (5),28.185 (4),8.117 (4),23.833 (4),2.201 (5),
176377,NJUST-wsm,11.856 (5),32.020 (3),27.138 (5),7.910 (6),23.029 (5),2.200 (6),
176113,InwoongLee,10.459 (6),23.781 (6),22.926 (6),8.112 (5),19.715 (6),2.551 (3),
174750,kkjh0723,9.724 (7),21.928 (7),20.635 (8),7.722 (7),18.180 (8),2.505 (4),
171258,webber12312,9.586 (8),34.826 (2),21.725 (7),5.464 (8),19.550 (7),1.450 (8),
171788,ric,5.981 (9),5.896 (8),15.028 (9),2.444 (9),12.865 (9),0.585 (9),
174229,mohui22,0.163 (10),4.107 (9),0.349 (10),0.038 (10),0.417 (10),0.011 (10),
171352,jzchen,0.000 (11),0.000 (10),0.000 (11),0.000 (11),0.000 (11),0.000 (11),
