submission_pk,User,b'Avg.mAP (%)'
100305,OverWhelmingFIt,72.18 (1),
81639,fangxu622,61.99 (2),
100259,sthoduka,59.91 (3),
80420,huangjch526,51.81 (4),
353684,richard61,24.81 (5),
81431,tanghaom,8.55 (6),
