submission_pk,User,b'Accuracy',b'F1',b'Bleu_1',b'Bleu_2',b'Bleu_3',b'Bleu_4',b'Rouge_L',b'CIDEr',b'METEOR'
458044,TerenceCai,0.8724 (1),0.3842 (1),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
457841,noobyj,0.8389 (2),0.2421 (2),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
448715,yueqianwang,0.5057 (3),0.1875 (3),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
