submission_pk,User,b'F1',b'precision_score',b'recall_score'
314146,SheerinSitaraNoorMohamed,0.716 (1),0.558 (1),1.000 (1),
338713,abelcorreadias,0.709 (2),0.555 (2),0.982 (2),
355968,rm_ittc,0.570 (3),0.510 (3),0.645 (3),
