submission_pk,User,b'Total GMV',b'Total ROI'
46076,Star-Wisher,186673.2383 (1),7.82 (11),
41235,JiawenLi,182902.1792 (2),9.00 (7),
42752,freemanneo,181749.8382 (3),9.00 (7),
45947,jeomin,181743.7772 (4),9.00 (7),
45681,zhangweijian,173025.1019 (5),8.75 (9),
45667,xiaohaizhu,169990.9495 (6),6.50 (13),
38864,muzieryueniao,169990.9495 (6),6.50 (13),
38149,hml,169990.9495 (6),6.50 (13),
33011,Ruebin,169990.9495 (6),6.50 (13),
22230,polixir_baseline,169990.9495 (6),6.50 (13),
46024,hsl,151011.4792 (7),7.35 (12),
30176,aquarius,137534.6993 (8),20.43 (4),
45452,shulinhu,137301.6723 (9),19.00 (6),
40062,alanchguo,135025.7056 (10),7.83 (10),
37544,Finn,132546.0292 (11),20.31 (5),
26323,RogerChen,132546.0292 (11),20.31 (5),
30128,cnmslei,93022.8697 (12),8.94 (8),
39429,JH_Wang,83302.5321 (13),83302.53 (1),
46070,xiaojianyang820,82206.9924 (14),82206.99 (2),
46012,CLL,82046.4853 (15),82046.49 (3),
46047,idlecoder,- (16),6.12 (14),
40474,tianjue,- (16),6.12 (14),
27742,zhenlingcn,- (16),3.19 (15),
