submission_pk,User,b'OOD-Acc-pi/6',b'IID-Acc-pi/6',b'OOD-shape-Acc-pi/6',b'OOD-pose-Acc-pi/6',b'OOD-context-Acc-pi/6',b'OOD-texture-Acc-pi/6',b'OOD-occlusion-Acc-pi/6',b'OOD-weather-Acc-pi/6'
203637,ROBIN,0.4701 (1),0.6615 (1),0.4279 (1),0.4568 (1),0.5170 (1),0.4869 (1),0.4352 (1),0.4968 (1),
192538,dushens,0.3049 (2),0.6115 (2),0.3582 (2),0.1358 (2),0.2811 (2),0.3763 (2),0.2263 (2),0.4516 (2),
190015,dhpitt,0.1689 (3),0.4556 (4),0.2678 (3),0.0988 (4),0.0264 (4),0.2213 (3),0.0895 (4),0.3097 (3),
188627,grid_search_hater,0.1186 (4),0.4701 (3),0.1743 (4),0.1019 (3),0.0566 (3),0.0825 (4),0.1350 (3),0.1613 (4),
