submission_pk,User,b'Average TPR@0.1FPR across the three scenarios'
296774,tianjian10,0.1259 (1),
293717,Flesh,0.1091 (2),
293715,devpranjal,0.1012 (3),
293718,micochallenge,0.0995 (4),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
296774,tianjian10,0.1776 (1),0.0398 (1),0.0086 (1),0.5743 (1),0.0936 (1),0.5468 (1),
293715,devpranjal,0.0974 (4),0.0086 (4),0.0022 (2),0.5025 (4),0.0150 (4),0.5075 (4),
293718,micochallenge,0.0996 (3),0.0106 (3),0.0000 (3),0.5225 (3),0.0508 (2),0.5254 (2),
293717,Flesh,0.1320 (2),0.0276 (2),0.0000 (3),0.5299 (2),0.0404 (3),0.5202 (3),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
293715,devpranjal,0.0970 (3),0.0116 (2),0.0010 (1),0.5074 (1),0.0216 (1),0.5108 (1),
296774,tianjian10,0.1038 (1),0.0132 (1),0.0004 (2),0.4980 (4),0.0092 (3),0.5046 (3),
293718,micochallenge,0.0948 (4),0.0076 (4),0.0000 (3),0.5020 (2),0.0162 (2),0.5081 (2),
293717,Flesh,0.0994 (2),0.0084 (3),0.0000 (3),0.4985 (3),0.0072 (4),0.5036 (4),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
296774,tianjian10,0.0964 (3),0.0108 (1),0.0008 (1),0.4994 (4),0.0126 (4),0.5063 (4),
293715,devpranjal,0.1092 (1),0.0090 (4),0.0006 (2),0.5014 (3),0.0138 (3),0.5069 (3),
293718,micochallenge,0.1042 (2),0.0096 (2),0.0000 (3),0.5121 (1),0.0272 (1),0.5136 (1),
293717,Flesh,0.0960 (4),0.0094 (3),0.0000 (3),0.5024 (2),0.0144 (2),0.5072 (2),
