submission_pk,User,b'Global IoU',b'Global IoU Bean',b'Global IoU Maize'
113916,ru_willow,0.69 (1),0.69 (1),0.68 (2),
111234,Rich_Li,0.69 (2),0.68 (2),0.69 (1),
113906,SoleMiao,0.62 (3),0.54 (3),0.68 (2),
112827,johnny_373,0.42 (4),0.40 (4),0.43 (3),
113482,xindima19980501,0.34 (5),0.31 (5),0.36 (4),
