submission_pk,User,b'avg F1'
140706,th,0.463526 (1),
140730,sakura,0.398367 (2),
140631,geroge_paul,0.380372 (3),
140727,batman,0.354641 (4),
137587,ryanwong,0.354024 (5),
106720,juliojj,0.330519 (6),
136392,hpoes,0.056589 (7),
137688,Mikedddd,0.011248 (8),
135600,Random_guess,0.005657 (9),
