submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
380723,ganzoo,32.648 (11),0.937 (9),-1.00 (1),1000.0000 (3),-1.00 (1),
377672,futing,31.987 (36),0.932 (31),-1.00 (1),1000.0000 (3),-1.00 (1),
376235,zhouzhou,32.909 (4),0.939 (4),-1.00 (1),670.0000 (4),-1.00 (1),
375046,CCjiahao,32.908 (5),0.939 (3),-1.00 (1),1000.0000 (3),-1.00 (1),
374952,yhy_gogo,32.283 (27),0.934 (25),-1.00 (1),1000.0000 (3),-1.00 (1),
374686,loveletter,32.500 (17),0.935 (18),-1.00 (1),1000.0000 (3),-1.00 (1),
370263,lolo,32.416 (20),0.936 (13),-1.00 (1),3970.0000 (1),-1.00 (1),
369593,Apollo,32.144 (30),0.932 (33),-1.00 (1),1000.0000 (3),-1.00 (1),
368391,Layer,32.669 (10),0.936 (16),-1.00 (1),1000.0000 (3),-1.00 (1),
361360,chongyichongba,32.079 (35),0.931 (36),-1.00 (1),1000.0000 (3),-1.00 (1),
360647,nicetoyou,32.088 (34),0.931 (37),-1.00 (1),1000.0000 (3),-1.00 (1),
360346,jiangli,32.135 (31),0.931 (34),-1.00 (1),1000.0000 (3),-1.00 (1),
359624,LongLongAgo,33.255 (1),0.943 (1),-1.00 (1),2857.0000 (2),-1.00 (1),
359377,beyond,32.302 (24),0.933 (29),-1.00 (1),1000.0000 (3),-1.00 (1),
355714,cool-boy,30.590 (43),0.910 (44),-1.00 (1),1000.0000 (3),-1.00 (1),
355335,xiaoliu,32.605 (13),0.936 (12),-1.00 (1),1000.0000 (3),-1.00 (1),
355231,TLDX,29.611 (46),0.904 (46),-1.00 (1),1000.0000 (3),-1.00 (1),
354210,Buneary,32.191 (29),0.934 (28),-1.00 (1),3970.0000 (1),-1.00 (1),
352469,kukudeteng,32.599 (14),0.936 (10),-1.00 (1),1000.0000 (3),-1.00 (1),
350117,zheng_shaolong,30.197 (44),0.916 (43),-1.00 (1),1000.0000 (3),-1.00 (1),
346198,Dawns,32.109 (33),0.931 (35),-1.00 (1),1000.0000 (3),-1.00 (1),
343486,Good,30.590 (43),0.910 (44),-1.00 (1),1000.0000 (3),-1.00 (1),
341559,dq,31.698 (41),0.925 (42),-1.00 (1),90.0000 (5),-1.00 (1),
339195,richlaji,32.605 (12),0.936 (11),-1.00 (1),1000.0000 (3),-1.00 (1),
326939,Justones,29.802 (45),0.905 (45),-1.00 (1),3970.0000 (1),-1.00 (1),
322113,lhb_666,31.698 (41),0.925 (42),-1.00 (1),90.0000 (5),-1.00 (1),
320165,fvasluianu,31.698 (41),0.925 (42),-1.00 (1),90.0000 (5),-1.00 (1),
320126,nanashi,31.698 (41),0.925 (42),-1.00 (1),90.0000 (5),-1.00 (1),
320081,eduardzCVLJMU,31.698 (41),0.925 (42),-1.00 (1),90.0000 (5),-1.00 (1),
377398,elevrint,31.944 (37),0.932 (32),155.28 (7),1000.0000 (3),0.00 (2),
371353,ChargeQQCoin,31.798 (38),0.928 (40),1000.00 (8),1000.0000 (3),0.00 (2),
371154,andrew880111,33.085 (2),0.942 (2),10.43 (6),1000.0000 (3),0.00 (2),
370426,Replicate,32.687 (9),0.936 (15),10.43 (6),1000.0000 (3),0.00 (2),
365898,SergiuNistor,31.651 (42),0.925 (41),-1.00 (1),1000.0000 (3),0.00 (2),
361711,LIUzibin,32.552 (15),0.935 (19),0.01 (2),1000.0000 (3),0.00 (2),
352916,JeremieG,32.862 (6),0.939 (6),0.01 (4),1000.0000 (3),0.00 (2),
326903,WeiranGou,31.784 (40),0.929 (39),-1.00 (1),1000.0000 (3),0.00 (2),
385362,ykh1123,32.395 (21),0.934 (21),10.43 (6),1000.0000 (3),1.00 (3),
374579,xiaokaoji,32.442 (18),0.936 (17),10.43 (6),1000.0000 (3),1.00 (3),
374054,rlghksdbs,32.914 (3),0.939 (5),10.43 (6),1000.0000 (3),1.00 (3),
370851,kkkls,32.389 (22),0.934 (24),-1.00 (1),1000.0000 (3),1.00 (3),
369164,mingxi,32.299 (25),0.935 (20),10.43 (6),1000.0000 (3),1.00 (3),
369105,zhongbao97,32.387 (23),0.934 (23),-1.00 (1),1000.0000 (3),1.00 (3),
368973,PixelBE,32.521 (16),0.936 (14),10.43 (6),1000.0000 (3),1.00 (3),
367957,danny0411,32.134 (32),0.933 (30),0.03 (5),1000.0000 (3),1.00 (3),
364004,jklovezhang,32.420 (19),0.934 (22),10.43 (6),1000.0000 (3),1.00 (3),
362639,tuvovan,32.268 (28),0.934 (27),0.01 (3),1000.0000 (3),1.00 (3),
362547,Felix_Xie,32.741 (7),0.938 (7),10.43 (6),1000.0000 (3),1.00 (3),
362126,dalang,32.735 (8),0.937 (8),10.43 (6),1000.0000 (3),1.00 (3),
361369,csbhr,31.794 (39),0.929 (38),-1.00 (1),1000.0000 (3),1.00 (3),
354701,kcml2,32.289 (26),0.934 (26),0.01 (3),1000.0000 (3),1.00 (3),
336201,Noah_TerminalVision,31.698 (41),0.925 (42),10.43 (6),1000.0000 (3),1.00 (3),
