submission_pk,User,b'PQ',b'PQ+',b'RQ',b'SQ',b'PQ(Th)',b'RQ(Th)',b'SQ(Th)',b'PQ(st)',b'RQ(st)',b'SQ(st)',b'mIoU'
218282,UniSeg,67.2 (1),72.1 (1),78.1 (1),85.5 (3),67.5 (3),75.7 (2),89.0 (5),67.0 (1),79.8 (1),83.0 (2),73.8 (1),
363427,PUPS,65.7 (2),70.3 (3),75.8 (4),85.7 (2),68.1 (1),74.3 (3),91.6 (1),63.9 (3),76.9 (3),81.4 (7),68.5 (5),
404254,nothingtodo,65.4 (3),71.4 (2),76.0 (2),85.3 (4),68.0 (2),75.8 (1),89.5 (3),63.4 (5),76.2 (6),82.2 (3),72.8 (2),
468007,P3Former,65.3 (4),67.8 (5),74.9 (5),86.6 (1),67.4 (4),73.6 (4),91.4 (2),63.7 (4),75.8 (7),83.2 (1),66.1 (8),
229560,RangeFormer,64.2 (5),69.5 (4),75.9 (3),83.8 (7),63.6 (5),73.0 (5),86.8 (11),64.6 (2),78.1 (2),81.7 (5),72.0 (3),
205494,TMV3D,61.7 (6),67.4 (6),72.6 (7),84.2 (6),60.4 (6),68.7 (7),87.2 (8),62.6 (8),75.4 (8),82.0 (4),67.9 (6),
209319,LingdongKong,61.4 (7),67.3 (7),74.0 (6),82.3 (14),59.7 (8),70.3 (6),84.6 (14),62.7 (7),76.7 (4),80.6 (8),71.0 (4),
229645,xhhking,61.0 (8),66.8 (8),72.0 (8),84.4 (5),58.1 (11),66.0 (9),88.1 (7),63.2 (6),76.3 (5),81.7 (6),66.1 (7),
457102,AutoPerception,58.8 (9),64.8 (10),69.4 (10),83.8 (8),58.6 (10),66.0 (10),88.7 (6),58.9 (9),71.8 (9),80.3 (10),62.8 (13),
325284,JM,58.5 (10),65.2 (9),69.8 (9),83.0 (10),59.7 (7),68.1 (8),87.2 (9),57.6 (11),71.0 (11),79.9 (12),64.6 (11),
234787,FrederikH,58.0 (11),64.0 (12),69.0 (11),82.6 (12),57.2 (12),65.7 (12),86.9 (10),58.6 (10),71.4 (10),79.5 (14),65.4 (9),
193138,spongebobChen,57.8 (12),63.9 (13),68.4 (12),83.1 (9),58.8 (9),65.9 (11),89.2 (4),57.0 (14),70.2 (14),78.7 (15),61.0 (15),
479010,thangvubk,57.2 (13),64.2 (11),68.2 (13),82.7 (11),57.1 (13),65.6 (13),85.8 (13),57.3 (13),70.2 (13),80.4 (9),63.0 (12),
330898,yu_yang,54.6 (14),61.5 (14),65.8 (14),81.8 (15),50.6 (15),59.0 (15),84.3 (15),57.5 (12),70.7 (12),80.0 (11),65.0 (10),
220899,mganesin,53.9 (15),61.3 (15),64.5 (15),82.6 (13),52.0 (14),59.6 (14),86.7 (12),55.2 (15),68.1 (15),79.6 (13),62.4 (14),
424240,jingdu,52.3 (16),59.5 (16),63.4 (16),80.7 (16),49.7 (16),58.1 (16),84.2 (16),54.2 (16),67.3 (16),78.2 (16),55.4 (16),
322708,tkyin,35.4 (17),43.7 (17),46.2 (17),74.9 (17),27.6 (17),34.9 (17),79.0 (17),41.0 (18),54.5 (18),72.0 (17),40.4 (19),
329652,wlyu,28.7 (18),37.0 (18),38.6 (18),69.2 (18),10.7 (18),15.1 (18),67.0 (18),41.8 (17),55.7 (17),70.9 (19),42.8 (17),
287409,oreochiz,23.0 (19),33.7 (19),30.4 (19),68.1 (19),4.0 (19),6.1 (19),63.9 (19),36.8 (19),48.0 (19),71.2 (18),42.3 (18),
